exercise_id,exercise_name,exercise_type,body_part,exercise_image,equipment
5193,Weighted + Seated Side-To-Side Leg Raise Crunch On Floor,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/39781101-Seated-Side-to-Side-Leg-Raise-Crunch-on-Floor_Waist_small.png,weighted
5311,Weighted + Straight Leg Toe Touch Crunch,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/41011101-Weighted-Straight-Leg-Toe-Touch-Crunch-(male)_Waist_small.png,weighted
5801,Weighted + Seated Tuck Crunch On Floor,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/46231101-Weighted-Seated-Tuck-Crunch-on-Floor_Waist_small.png,weighted
27369,Weighted + Seated Leg Raise On Floor,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/50231101-Weighted-Seated-Leg-Raise-on-Floor_Waist_small.png,weighted
4201,Weighted + Captains Chair Straight Leg Raise,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/29631101-Captains-Chair-Straight-Leg-Raise_Waist_small.png,weighted
2317,Weighted + Hanging Leg-Hip Raise,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/08661101-Weighted-Hanging-leg-hip-raise_Waist_small.png,weighted
3380,Weighted + Standing Abs Rotation Stretch,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/21101101-Standing-Abs-Rotation-Stretch_Waist_small.png,weighted
1592,Weighted + Bridge - Mountain Climber,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/01411101-Bridge---Mountain-Climber-(Cross-Body)-(female)_Waist-FIX_small.png,weighted
2071,Weighted + Lying Leg Raise Flat Bench,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/06201101-Lying-Leg-Raise-Flat-Bench_waist_small.png,weighted
5110,Weighted + Hanging Knees To Elbows,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/38901101-Hanging-Knees-to-Elbows_Waist-FIX_small.png,weighted
1457,Weighted + Alternate Heel Touchers,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/00061101-Alternate-Heel-Touchers_waist-FIX_small.png,weighted
2296,Weighted + Russian Twist,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/08451101-Weighted-Russian-Twist-(legs-up)_waist_small.png,weighted
1915,Body Weight + Front Plank With Twist,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/04641101-Front-Plank-with-Twist_waist_small.png,body weight
2086,Weighted + Oblique Crunches Floor,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/06351101-Oblique-Crunches-Floor_waist_small.png,weighted
2325,Cable + Standing Crunch,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/08741101-Cable-Standing-Crunch-(with-rope-attachment)_waist_small.png,cable
2247,Weighted + Standing Wheel Rollout,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/07961101-Standing-Wheel-Rollout_Waist_small.png,weighted
3052,Weighted + Hanging Leg Hip Raise,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/17641101-Hanging-Leg-Hip-Raise_Waist_small.png,weighted
1583,Weighted + Bent-Knee Lying Twist,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/01321101-Bent-knee-Lying-Twist-(female)_Waist-FIX_small.png,weighted
27963,Weighted + Bicycle Crunch (Male),bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/62111101-Bicycle-Crunch-(male)_Waist_small.png,weighted
1626,Cable + Kneeling Crunch,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/01751101-Cable-Kneeling-Crunch_Waist-FIX_small.png,cable
3398,Body Weight + Weighted Front Plank,duration_based,abs,https://apilyfta.com/static/GymvisualPNG/21351101-Weighted-Front-Plank_Waist_small.png,body weight
5368,Weighted + Side Crunch,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/41581101-Weighted-Side-Crunch_Waist_small.png,weighted
5037,Body Weight + Front Plank Toe Tap,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/38141101-Front-Plank-Toe-Tap-(male)_Hips_small.png,body weight
1455,Weighted + Air Twisting Crunch,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/00041101-Air-Twisting-Crunch_waist_small.png,weighted
5111,Weighted + Hanging Toes To Bar,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/38911101-Hanging-Toes-to-Bar_Waist_small.png,weighted
4853,Weighted + Vertical Leg Raise,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/36231101-Vertical-Leg-Raise-(on-parallel-bars)-(female)-(VERSION-2)_Hips_small.png,weighted
5177,Weighted + Seated Flutter Kick,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/39621101-Seated-Flutter-Kick_Waist_small.png,weighted
3139,Weighted + Leg Raise Hip Lift,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/18521101-Leg-Raise-Hip-Lift_Waist_small.png,weighted
5337,Weighted + Dead Bug,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/41271101-Weighted-Dead-Bug-(male)_Waist_small.png,weighted
1713,Weighted + Cross Body Crunch,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/02621101-Cross-Body-Crunch_waist_small.png,weighted
4851,Weighted + Twisting Crunch,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/36211101-Twisting-Crunch-(Straight-Arms)-(male)_Waist_small.png,weighted
2140,Weighted + Seated Leg Raise,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/06891101-Seated-Leg-Raise_waist_small.png,weighted
2283,Weighted + Crunch,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/08321101-Weighted-Crunch_waist_small.png,weighted
2824,Weighted + Cobra Yoga Pose,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/14821101-Cobra-Yoga-Pose_Waist_small.png,weighted
2837,Weighted + Oblique Crunch,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/14951101-Oblique-Crunch-(Version-2)_Waist_small.png,weighted
1673,Cable + Side Bend,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/02221101-Cable-Side-Bend_Waist-FIX_small.png,cable
2592,Weighted + Lying Leg Raise,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/11631101-Lying-Leg-Raise_Waist_small.png,weighted
3687,Weighted + Decline Sit Up,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/24491101-Decline-Sit-up-(female)_Hips_small.png,weighted
2323,Weighted + Reverse Crunch,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/08721101-Reverse-Crunch-m_waist_small.png,weighted
