exercise_id,exercise_name,exercise_type,body_part,exercise_image,equipment
28183,Leverage Machine + Lever Seated Single Leg Squat Calf Raise On Leg Press Machine (Female),bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/71091101-Lever-Seated-Single-Leg-Squat-Calf-Raise-on-Leg-Press-Machine-(female)_Calves_small.png,leverage machine
2751,Leverage Machine + Lever Seated Squat Calf Raise On Leg Press Machine,bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/13851101-Lever-Seated-Squat-Calf-Raise-on-Leg-Press-Machine_Calves_small.png,leverage machine
2747,Dumbbell + Seated One Leg Calf Raise - Hammer Grip,unilateral_alternating,calves,https://apilyfta.com/static/GymvisualPNG/13801101-Dumbbell-Seated-One-Leg-Calf-Raise---Hammer-Grip_Calves_small.png,dumbbell
27659,Weighted + Seated Single Calf Raise (Version 2),bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/54841101-Weighted-Seated-Single-Calf-Raise-(VERSION-2)_Calves_small.png,weighted
2748,Dumbbell + Seated One Leg Calf Raise - Palm Up,unilateral_alternating,calves,https://apilyfta.com/static/GymvisualPNG/13811101-Dumbbell-Seated-One-Leg-Calf-Raise---Palm-up_Calves_small.png,dumbbell
4620,Weighted + Calf Raise From Deficit With Chair Supported,bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/33901101-Calf-Raise-from-Deficit-with-Chair-Supported_Calves_small.png,weighted
28188,Leverage Machine + Lever Seated Calf Press (Version 2) (Male),bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/71761101-Lever-Seated-Calf-Press-(VERSION-2)-(male)_Calves_small.png,leverage machine
4943,Dumbbell + Standing Single Leg Calf Raise,unilateral_alternating,calves,https://apilyfta.com/static/GymvisualPNG/37131101-Dumbbell-Standing-Single-Leg-Calf-Raise_Calves_small.png,dumbbell
1562,Barbell + Standing Rocking Leg Calf Raise,bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/01111101-Barbell-Standing-Rocking-Leg-Calf-Raise_Calf_small.png,barbell
3999,Weighted + Ankle - Dorsal Flexion - Articulations,bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/27611101-Ankle---Dorsal-Flexion_Articulations_small.png,weighted
27658,Weighted + Seated Calf Raise (Version 2),bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/54831101-Weighted-Seated-Calf-Raise-(VERSION-2)_Calves_small.png,weighted
4472,Dumbbell + Exercise Ball On The Wall Calf Raise,bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/32411101-Exercise-Ball-on-the-Wall-Calf-Raise-(tennis-ball-between-ankles)_Calves_small.png,dumbbell
1559,Barbell + Standing Leg Calf Raise,bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/01081101-Barbell-Standing-Leg-Calf-Raise_Calf_small.png,barbell
2759,Smith Machine + Smith Seated One Leg Calf Raise,bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/13951101-Smith-Seated-One-Leg-Calf-Raise_Calves_small.png,smith machine
307,Leverage Machine + Lever Seated One Leg Calf Raise,bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/12161101-Lever-seated-one-leg-calf-raise_calves_small.png,leverage machine
2758,Smith Machine + Smith One Leg Floor Calf Raise,bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/13931101-Smith-One-Leg-Floor-Calf-Raise_Calves_small.png,smith machine
353,Body Weight + Bodyweight Standing Calf Raise,bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/13731101-Bodyweight-Standing-Calf-Raise_Calves_small.png,body weight
2224,Smith Machine + Smith Standing Leg Calf Raise,bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/07731101-Smith-Standing-Leg-Calf-Raise_Calf_small.png,smith machine
1868,Dumbbell + Standing Calf Raise,bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/04171101-Dumbbell-Standing-Calf-Raise_Calf_small.png,dumbbell
2741,Barbell + Standing Calf Raise,bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/13721101-Barbell-Standing-Calf-Raise_Calves_small.png,barbell
27723,Dumbbell + Walking Calf Raise,unilateral_alternating,calves,https://apilyfta.com/static/GymvisualPNG/56981101-Dumbbell-Walking-Calf-Raise_Calves_small.png,dumbbell
5365,Weighted + Seated Calf Raise,bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/41551101-Weighted-Seated-Calf-Raise_Calves_small.png,weighted
3451,Weighted + Lever Standing Calf Raise,bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/22111101-Lever-Standing-Calf-Raise-(female)_Calves_small.png,weighted
