exercise_id,exercise_name,exercise_type,body_part,exercise_image,equipment
4896,Walking On Incline Treadmill,duration_based,cardio,https://apilyfta.com/static/GymvisualPNG/36661101-Walking-on-Incline-Treadmill_Cardio_small.png,unknown
3436,Elliptical Machine Walk,duration_based,cardio,https://apilyfta.com/static/GymvisualPNG/21921101-Elliptical-Machine-Walk_Cardio_small.png,unknown
3518,Stationary Bike Run,duration_based,cardio,https://apilyfta.com/static/GymvisualPNG/22791101-Stationary-Bike-Run-(version-4)_Cardio_small.png,unknown
3437,Bicycle Recline Walk,duration_based,cardio,https://apilyfta.com/static/GymvisualPNG/21931101-Bicycle-Recline-Walk_Cardio_small.png,unknown
3499,Walking On Treadmill,duration_based,cardio,https://apilyfta.com/static/GymvisualPNG/22591101-Walking-on-Treadmill_Cardio_small.png,unknown
3569,Cycle Cross Trainer,duration_based,cardio,https://apilyfta.com/static/GymvisualPNG/23311101-Cycle-Cross-Trainer_Cardio_small.png,unknown
3439,Run On Treadmill,duration_based,cardio,https://apilyfta.com/static/GymvisualPNG/21971101-Run-on-Treadmill-(female)_Cardio_small.png,unknown
2081,Mountain Climber,duration_based,cardio,https://apilyfta.com/static/GymvisualPNG/06301101-Mountain-Climber_Cardio-FIX_small.png,unknown
1928,High Knee Skips,duration_based,cardio,https://apilyfta.com/static/GymvisualPNG/04771101-High-Knee-Skips_Cardio_small.png,unknown
1929,Weighted + High Knee Squat,bilateral_simultaneous,cardio,https://apilyfta.com/static/GymvisualPNG/04781101-High-Knee-Squat_Cardio_small.png,weighted
4906,Skip Jump Rope,duration_based,cardio,https://apilyfta.com/static/GymvisualPNG/36761101-Skip-Jump-Rope-(male)_Cardio_small.png,unknown
1967,Jumping Jack,duration_based,cardio,https://apilyfta.com/static/GymvisualPNG/05161101-Jumping-Jack_Cardio_small.png,unknown
4275,Butt Kicks,duration_based,cardio,https://apilyfta.com/static/GymvisualPNG/30371101-Butt-Kicks-(male)_Cardio_small.png,unknown
1962,Jump Rope,duration_based,cardio,https://apilyfta.com/static/GymvisualPNG/05111101-Jump-Rope-(female)_Cardio-FIX_small.png,unknown
3498,Walking,duration_based,cardio,https://apilyfta.com/static/GymvisualPNG/22581101-Walking_Cardio_small.png,unknown
293,Body Weight + Burpee,duration_based,cardio,https://apilyfta.com/static/GymvisualPNG/11601101-Burpee_Cardio_small.png,body weight
2135,Run,duration_based,cardio,https://apilyfta.com/static/GymvisualPNG/06841101-Run-(equipment)_Cardio_small.png,unknown
2136,Run,duration_based,cardio,https://apilyfta.com/static/GymvisualPNG/06851101-Run_Cardio-FIX_small.png,unknown
