exercise_id,exercise_name,exercise_type,body_part,exercise_image,equipment
1566,Barbell + Stiff Leg Good Morning,bilateral_simultaneous,hamstring,https://apilyfta.com/static/GymvisualPNG/01151101-Barbell-Stiff-Leg-Good-Morning_Waist_small.png,barbell
5490,Dumbbell + Lying Hamstring Curl,unilateral_simultaneous,hamstring,https://apilyfta.com/static/GymvisualPNG/42921301-Dumbbell-Lying-Hamstring-Curl_Thighs_720_small.png,dumbbell
1567,Barbell + Straight Leg Deadlift,bilateral_simultaneous,hamstring,https://apilyfta.com/static/GymvisualPNG/01161101-Barbell-Straight-Leg-Deadlift_Thighs-AFIX_small.png,barbell
2883,Barbell + Stiff Legged Deadlift,bilateral_simultaneous,hamstring,https://apilyfta.com/static/GymvisualPNG/15431101-Barbell-Stiff-Legged-Deadlift_Hips_small.png,barbell
4432,Weighted + Lever Lying Two-One Leg Curl,bilateral_simultaneous,hamstring,https://apilyfta.com/static/GymvisualPNG/31951101-Lever-Lying-Two-One-Leg-Curl_Thighs_small.png,weighted
2924,Weighted + Lever Lying Single Leg Curl,bilateral_simultaneous,hamstring,https://apilyfta.com/static/GymvisualPNG/15901101-Lever-Lying-Single-Leg-Curl_Thighs_small.png,weighted
2920,Leverage Machine + Lever Seated One Leg Curl,bilateral_simultaneous,hamstring,https://apilyfta.com/static/GymvisualPNG/15861101-Lever-Seated-One-Leg-Curl_Thighs_small.png,leverage machine
210,Weighted + Lever Kneeling Leg Curl,bilateral_simultaneous,hamstring,https://apilyfta.com/static/GymvisualPNG/05821101-Lever-Kneeling-Leg-Curl-(plate-loaded)_Thighs_small.png,weighted
1790,Dumbbell + Lying Femoral,unilateral_simultaneous,hamstring,https://apilyfta.com/static/GymvisualPNG/03391101-Dumbbell-Lying-Femoral_Thighs_small.png,dumbbell
222,Leverage Machine + Lever Seated Leg Curl,bilateral_simultaneous,hamstring,https://apilyfta.com/static/GymvisualPNG/05991101-Lever-Seated-Leg-Curl_Thighs-FIX_small.png,leverage machine
213,Weighted + Lever Lying Leg Curl,bilateral_simultaneous,hamstring,https://apilyfta.com/static/GymvisualPNG/05861101-Lever-Lying-Leg-Curl_Thighs_small.png,weighted
1495,Barbell + Good Morning,bilateral_simultaneous,hamstring,https://apilyfta.com/static/GymvisualPNG/00441101-Barbell-Good-Morning_Thighs-AFIX_small.png,barbell
2000,Kettlebell + Swing,bilateral_simultaneous,hamstring,https://apilyfta.com/static/GymvisualPNG/05491101-Kettlebell-Swing_Kettlebell_small.png,kettlebell
4675,Dumbbell + Swing,unilateral_simultaneous,hamstring,https://apilyfta.com/static/GymvisualPNG/34451101-Dumbbell-Swing-(female)_Hips_small.png,dumbbell
