exercise_id,exercise_name,exercise_type,body_part,exercise_image,equipment
3131,Weighted + Extension And Inclination Neck Stretch,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/18441101-Extension-And-Inclination-Neck-Stretch_Neck_small.png,weighted
27570,Roll Neck Decompress Lying On Floor,duration_based,neck,https://apilyfta.com/static/GymvisualPNG/53721101-Roll-Neck-Decompress-Lying-on-Floor_Neck_small.png,unknown
5624,Weighted + Side Lying Side Neck Raise,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/44301101-Weighted-Side-Lying-Side-Neck-Raise_Neck_small.png,weighted
4671,Weighted + Seated Flexion And Extension Neck,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/34411101-Seated-Flexion-And-Extension-Neck-(male)_Neck_small.png,weighted
3127,Weighted + Neck Flexor And Rotational Stretch,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/18401101-Neck-Flexor-And-Rotational-Stretch_Neck_small.png,weighted
3648,Weighted + Standing Neck Extension,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/24101101-Weighted-Standing-Neck-Extension-(with-head-harness)_Neck_small.png,weighted
5625,Weighted + Lying Neck Side To Side,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/44311101-Weighted-Lying-Neck-Side-to-Side_Neck_small.png,weighted
3646,Weighted + Lying Neck Extension,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/24081101-Weighted-Lying-Neck-Extension-(with-head-harness)_Neck_small.png,weighted
3130,Weighted + Assisted Rotating Neck Stretch,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/18431101-Assisted-Rotating-Neck-Stretch_Neck_small.png,weighted
5623,Weighted + Lying Side Neck Raise,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/44291101-Weighted-Lying-Side-Neck-Raise_Neck_small.png,weighted
3119,Diagonal Flexion Neck Stretch,duration_based,neck,https://apilyfta.com/static/GymvisualPNG/18321101-Diagonal-Flexion-Neck-Stretch_Neck_small.png,unknown
3522,Weighted + Lever Neck Left Side Flexion,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/22831101-Lever-Neck-Left-Side-Flexion-(plate-loaded)_Neck_small.png,weighted
3123,Forward Flexion Neck Stretch,duration_based,neck,https://apilyfta.com/static/GymvisualPNG/18361101-Forward-Flexion-Neck-Stretch_Neck_small.png,unknown
3122,Sitting Neck Flexion Stretch,duration_based,neck,https://apilyfta.com/static/GymvisualPNG/18351101-Sitting-Neck-Flexion-Stretch_Neck_small.png,unknown
3647,Weighted + Lying Neck Flexion,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/24091101-Weighted-Lying-Neck-Flexion-(with-head-harness)_Neck_small.png,weighted
1913,Weighted + Front And Back Neck Stretch,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/04621101-Front-and-Back-Neck-Stretch_Neck_small.png,weighted
3128,Lying Neck Extensor Stretch,duration_based,neck,https://apilyfta.com/static/GymvisualPNG/18411101-Lying-Neck-Extensor-Stretch_Neck_small.png,unknown
47256,Weighted + Chin Tuck Against The Wall,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/63721201-Chin-Tuck-against-the-Wall-(male)_Neck__GREEN.png,weighted
3650,Cable + Seated Neck Flexion,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/24121101-Cable-Seated-Neck-Flexion-(with-head-harness)_Neck_small.png,cable
46722,Standing Side Neck Stretch,duration_based,neck,https://apilyfta.com/static/GymvisualPNG/73061201-Standing-Side-Neck-Stretch-(female)_Neck_GREEN.png,unknown
27402,Weighted + Prone Cervical Extension,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/50601101-Prone-Cervical-Extension_Neck_small.png,weighted
3121,Neck Protraction Stretch,duration_based,neck,https://apilyfta.com/static/GymvisualPNG/18341101-Neck-Protraction-Stretch_Neck_small.png,unknown
47288,Weighted + 5 Sec Fist Against Chin,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/64071201-5-Sec-Fist-Against-Chin-(male)_Neck__GREEN.png,weighted
3120,Neck Extension Stretch,duration_based,neck,https://apilyfta.com/static/GymvisualPNG/18331101-Neck-Extension-Stretch_Neck_small.png,unknown
3521,Weighted + Lever Neck Extension,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/22821101-Lever-Neck-Extension-(plate-loaded)_Neck_small.png,weighted
268,Weighted + Seated Neck Extension,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/08481101-Weighted-Seated-Neck-Extension-(with-head-harness)_Neck_small.png,weighted
3118,Weighted + Rotating Neck Stretch,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/18311101-Rotating-Neck-Stretch_Neck_small.png,weighted
287,Weighted + Lying Neck Extension,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/10421101-Weighted-Lying-Neck-Extension_neck_small.png,weighted
5209,Weighted + Neck Circle Stretch,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/39941301-Neck-Circle-Stretch_Neck_720_small.png,weighted
27477,Seated Neck Stretch,duration_based,neck,https://apilyfta.com/static/GymvisualPNG/51621101-Seated-Neck-Stretch_Stretching_small.png,unknown
288,Weighted + Lying Neck Flexion,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/10431101-Weighted-Lying-Neck-Flexion_neck_small.png,weighted
5487,Neck Side Stretch,duration_based,neck,https://apilyfta.com/static/GymvisualPNG/42891101-Neck-Side-Stretch-(female)_Neck_small.png,unknown
27405,Weighted + Seated Chin Tuck,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/50631101-Seated-Chin-Tuck_Neck_small.png,weighted
27404,Weighted + Lying Chin Tucks,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/50621101-Lying-Chin-Tucks_Neck_small.png,weighted
5430,Weighted + Tiger Tail Neck,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/42221101-Tiger-Tail-Neck_Neck_small.png,weighted
4387,Weighted + Chin Tuck,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/31491101-Chin-Tuck_Neck_small.png,weighted
