exercise_id,exercise_name,exercise_type,body_part,exercise_image,equipment
2641,Dumbbell + Standing Alternate Vertical Front Raises,unilateral_alternating,shoulders,https://apilyfta.com/static/GymvisualPNG/12301101-Dumbbell-Standing-Alternate-Vertical-Front-Raises_Shoulders_small.png,dumbbell
4269,Barbell + Standing Close Grip Military Press,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/30311101-Barbell-Standing-Close-Grip-Military-Press-(female)_Shoulders_small.png,barbell
4926,Dumbbell + Bent Over Alternate Rear Delt Fly,unilateral_alternating,shoulders,https://apilyfta.com/static/GymvisualPNG/36961101-Dumbbell-Bent-Over-Alternate-Rear-Delt-Fly_Shoulders_small.png,dumbbell
1537,Barbell + Seated Behind Head Military Press,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/00861101-Barbell-Seated-Behind-Head-Military-Press_Shoulders_small.png,barbell
5335,Dumbbell + Face Down Lying Shoulder Press,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/41251101-Dumbbell-Face-Down-Lying-Shoulder-Press-(male)_Shoulders_small.png,dumbbell
3926,Barbell + Standing Front Raise Over Head,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/26881101-Barbell-Standing-Front-Raise-Over-Head-(female)_Shoulders_small.png,barbell
3556,Dumbbell + Seated Bent Arm Lateral Raise,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/23171101-Dumbbell-Seated-Bent-Arm-Lateral-raise_Shoulders_small.png,dumbbell
1538,Barbell + Seated Bradford Rocky Press,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/00871101-Barbell-Seated-Bradford-Rocky-Press_Shoulders_small.png,barbell
373,Barbell + Standing Close Grip Military Press,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/14561101-Barbell-Standing-Close-Grip-Military-Press_Shoulders_small.png,barbell
2593,Barbell + Standing Military Press,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/11651101-Barbell-Standing-Military-Press-(without-rack)_Shoulders-FIX_small.png,barbell
27557,Barbell + Standing Shoulders Press,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/53281101-Barbell-Standing-Shoulders-Press_Shoulders-FIX_small.png,barbell
1877,Dumbbell + Standing Overhead Press,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/04261101-Dumbbell-Standing-Overhead-Press_shoulder_small.png,dumbbell
1556,Barbell + Standing Bradford Press,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/01051101-Barbell-Standing-Bradford-Press_Shoulders_small.png,barbell
5609,Barbell + Seated High Front Raise,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/44111101-Barbell-Seated-High-Front-Raise_Shoulders_small.png,barbell
5318,Dumbbell + Standing Arnold Press,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/41081101-Dumbbell-Standing-Arnold-Press-(male)_Shoulders_small.png,dumbbell
1846,Dumbbell + Seated Lateral Raise,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/03951101-Dumbbell-Seated-Lateral-Raise-II_shoulder_small.png,dumbbell
1806,Dumbbell + One Arm Lateral Raise,unilateral_alternating,shoulders,https://apilyfta.com/static/GymvisualPNG/03551101-Dumbbell-One-Arm-Lateral-Raise_shoulder_small.png,dumbbell
1856,Dumbbell + Seated Shoulder Press,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/04051101-Dumbbell-Seated-Shoulder-Press_Shoulders_small.png,dumbbell
5420,Dumbbell + 4 Ways Lateral Raise,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/42111101-Dumbbell-4-Ways-Lateral-Raise_Shoulders_small.png,dumbbell
374,Barbell + Standing Wide Military Press,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/14571101-Barbell-Standing-Wide-Military-Press_Shoulders_small.png,barbell
253,Smith Machine + Smith Seated Shoulder Press,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/07651101-Smith-Seated-Shoulder-Press_Shoulders_small.png,smith machine
2239,Weighted + Standing Behind Neck Press,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/07881101-Standing-Behind-Neck-Press_Shoulders_small.png,weighted
4955,Barbell + Seated Front Raise,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/37261101-Barbell-Seated-Front-Raise_Shoulders_small.png,barbell
140,Dumbbell + Incline Rear Lateral Raise,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/03261101-Dumbbell-Incline-Rear-Lateral-Raise_Shoulders_small.png,dumbbell
180,Dumbbell + Standing Alternate Raise,unilateral_alternating,shoulders,https://apilyfta.com/static/GymvisualPNG/04151101-Dumbbell-Standing-Alternate-Raise_Shoulders_small.png,dumbbell
