exercise_id,exercise_name,exercise_type,body_part,exercise_image,equipment
3022,Cable + Standing Reverse Grip One Arm Overhead Tricep Extension,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/17271101-Cable-Standing-Reverse-Grip-One-Arm-Overhead-Tricep-Extension_Upper-Arms_small.png,cable
27810,Cable + Seated High Pulley Overhead Triceps Extension,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/59161101-Cable-Seated-High-Pulley-Overhead-Tricep-Extension_Upper-Arms_small.png,cable
4278,Cable + Bar High Pulley Overhead Tricep Extension,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/30401101-Cable-Bar-High-Pulley-Overhead-Tricep-Extension-(female)_Upper-Arms_small.png,cable
1659,Cable + Reverse-Grip Straight Back Seated High Row,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/02081101-Cable-Reverse-grip-Straight-Back-Seated-High-Row_Back-AFIX_small.png,cable
5325,Cable + Overhead Tricep Extension Straight-Bar,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/41151101-Cable-Overhead-Tricep-Extension-Straight-Bar-(male)_Upper-Arms_small.png,cable
2628,Cable + Twisting Standing One Arm Chest Press,bilateral_simultaneous,chest,https://apilyfta.com/static/GymvisualPNG/12111101-Cable-twisting-standing-one-arm-chest-press_chest_small.png,cable
2796,Cable + Dumbbell Bent Arm Pullover Hold Isometric,bilateral_simultaneous,chest,https://apilyfta.com/static/GymvisualPNG/14441101-Dumbbell-Bent-Arm-Pullover-Hold_Isometric_small.png,cable
3934,Cable + Standing One Arm Triceps Extension,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/26961101-Cable-Standing-One-Arm-Triceps-Extension-(female)_Upper-Arms_small.png,cable
2639,Cable + Standing One Arm Tricep Pushdown,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/12271101-Cable-Standing-One-Arm-Tricep-Pushdown-(Overhand-Grip)_Upper-Arms_small.png,cable
2949,Cable + Rope One Arm Hammer Preacher Curl,bilateral_simultaneous,biceps,https://apilyfta.com/static/GymvisualPNG/16401101-Cable-Rope-One-Arm-Hammer-Preacher-Curl_Upper-Arms_small.png,cable
2269,Cable + Twin Handle Parallel Grip Lat Pulldown,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/08181101-twin-handle-parallel-grip-lat-pulldown_Back_small.png,cable
28263,Cable + Neutral Grip Lat Pulldown (Male),bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/75831101-Cable-Neutral-Grip-Lat-Pulldown-(male)_Back_small.png,cable
425,Cable + High Pulley Overhead Tricep Extension,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/17221101-Cable-High-Pulley-Overhead-Tricep-Extension_Upper-Arms_small.png,cable
1644,Cable + One Arm Straight Back High Row,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/01931101-Cable-One-Arm-Straight-Back-High-Row-(kneeling)_Back_small.png,cable
3974,Cable + Lever Reverse Grip Lateral Pulldown,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/27361101-Lever-Reverse-grip-Lateral-Pulldown-(plate-loaded)_Back_small.png,cable
338,Cable + Wide Grip Rear Pulldown Behind Neck,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/13251101-Cable-Wide-Grip-Rear-Pulldown-Behind-Neck_Back_small.png,cable
48265,Cable + Standing Alternate Chest Fly,bilateral_simultaneous,chest,https://apilyfta.com/static/GymvisualPNG/79871201-Cable-Standing-Alternate-Chest-Fly_Chest_GREEN.png,cable
5589,Cable + Low Row With Rope Attachment,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/43911101-Cable-Low-Row-with-Rope-Attachment_Back_small.png,cable
4282,Cable + Cross Over Lateral Pulldown,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/30441101-Cable-Cross-over-Lateral-Pulldown-(female)_Back_small.png,cable
1665,Cable + Seated One Arm Alternate Row,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/02141101-Cable-Seated-One-Arm-Alternate-Row_Back_small.png,cable
233,Cable + Reverse Grip Machine Lat Pulldown,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/06731101-reverse-grip-machine-lat-pulldown_Back_small.png,cable
1645,Cable + Overhead Triceps Extension,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/01941101-Cable-Overhead-Triceps-Extension-(rope-attachment)_Upper-Arms_small.png,cable
4192,Cable + Standing Reverse Grip Curl,bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/29541101-Cable-Standing-Reverse-Grip-Curl-(Straight-bar)_Forearms_small.png,cable
28014,Cable + Standing Wrist Reverse Curl,bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/63631101-Cable-Standing-Wrist-Reverse-Curl_Forearms_small.png,cable
3854,Cable + Lateral Pulldown With V-Bar,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/26161101-Cable-Lateral-Pulldown-with-V-bar_Back_small.png,cable
