exercise_id,exercise_name,exercise_type,body_part,exercise_image,equipment
27954,Dumbbell + Seated Single Arm Overhead Triceps Extension,unilateral_alternating,triceps,https://apilyfta.com/static/GymvisualPNG/61581101-Dumbbell-Seated-Single-Arm-Overhead-Triceps-Extension_Upper-Arms_small.png,dumbbell
3033,Dumbbell + Standing Bent Over One Arm Triceps Extension,unilateral_alternating,triceps,https://apilyfta.com/static/GymvisualPNG/17401101-Dumbbell-Standing-Bent-Over-One-Arm-Triceps-Extension_Upper-Arms_small.png,dumbbell
2984,Dumbbell + Two Arm Seated Hammer Curl On Exercise Ball,bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/16811101-Dumbbell-Two-Arm-Seated-Hammer-Curl-on-Exercise-Ball_Upper-Arms_small.png,dumbbell
3825,Dumbbell + Lying One Arm Supinated Triceps Extension,unilateral_alternating,triceps,https://apilyfta.com/static/GymvisualPNG/25871101-Dumbbell-Lying-One-Arm-Supinated-Triceps-Extension-(female)_Upper-Arms_small.png,dumbbell
2985,Dumbbell + Step Up Single Leg Balance With Bicep Curl,unilateral_alternating,biceps,https://apilyfta.com/static/GymvisualPNG/16841101-Dumbbell-Step-Up-Single-Leg-Balance-with-Bicep-Curl_Upper-Arms_small.png,dumbbell
2641,Dumbbell + Standing Alternate Vertical Front Raises,unilateral_alternating,shoulders,https://apilyfta.com/static/GymvisualPNG/12301101-Dumbbell-Standing-Alternate-Vertical-Front-Raises_Shoulders_small.png,dumbbell
1795,Dumbbell + Lying One Arm Pronated Triceps Extension,unilateral_alternating,triceps,https://apilyfta.com/static/GymvisualPNG/03441101-Dumbbell-Lying-One-Arm-Pronated-Triceps-Extension_Upper-Arms_small.png,dumbbell
2983,Dumbbell + Standing One Arm Curl Over Incline Bench,unilateral_alternating,biceps,https://apilyfta.com/static/GymvisualPNG/16801101-Dumbbell-Standing-One-Arm-Curl-Over-Incline-Bench_Upper-Arms_small.png,dumbbell
5755,Dumbbell + Standing Biceps Curl To Shoulder Press,bilateral_simultaneous,biceps,https://apilyfta.com/static/GymvisualPNG/45741101-Dumbbell-Standing-Biceps-Curl-to-Shoulder-Press-(male)_Shoulders_small.png,dumbbell
2747,Dumbbell + Seated One Leg Calf Raise - Hammer Grip,unilateral_alternating,calves,https://apilyfta.com/static/GymvisualPNG/13801101-Dumbbell-Seated-One-Leg-Calf-Raise---Hammer-Grip_Calves_small.png,dumbbell
5162,Dumbbell + Seated Upright Alternate Squeeze Press,unilateral_alternating,chest,https://apilyfta.com/static/GymvisualPNG/39461101-Dumbbell-Seated-Upright-Alternate-Squeeze-Press_Chest_small.png,dumbbell
3032,Dumbbell + Standing Alternating Tricep Kickback,unilateral_alternating,triceps,https://apilyfta.com/static/GymvisualPNG/17391101-Dumbbell-Standing-Alternating-Tricep-Kickback_Upper-Arms_small.png,dumbbell
429,Dumbbell + Standing Bent Over Two Arm Triceps Extension,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/17411101-Dumbbell-Standing-Bent-Over-Two-Arm-Triceps-Extension_Upper-Arms_small.png,dumbbell
28180,Dumbbell + Standing Reverse Curl Rotate (Male),bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/70561101-Dumbbell-Standing-Reverse-Curl-Rotate-(male)_Forearms_small.png,dumbbell
2748,Dumbbell + Seated One Leg Calf Raise - Palm Up,unilateral_alternating,calves,https://apilyfta.com/static/GymvisualPNG/13811101-Dumbbell-Seated-One-Leg-Calf-Raise---Palm-up_Calves_small.png,dumbbell
3030,Dumbbell + Seated Bent Over Triceps Extension,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/17371101-Dumbbell-Seated-Bent-Over-Triceps-Extension_Upper-Arms_small.png,dumbbell
5227,Dumbbell + Incline Close-Grip Press Variation,unilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/40151101-Dumbbell-Incline-Close-grip-Press-Variation_Upper-Arms_small.png,dumbbell
4926,Dumbbell + Bent Over Alternate Rear Delt Fly,unilateral_alternating,shoulders,https://apilyfta.com/static/GymvisualPNG/36961101-Dumbbell-Bent-Over-Alternate-Rear-Delt-Fly_Shoulders_small.png,dumbbell
3034,Dumbbell + Tricep Kickback With Stork Stance,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/17421101-Dumbbell-Tricep-Kickback-With-Stork-Stance_Upper-Arms_small.png,dumbbell
4918,Dumbbell + Seated Reverse Grip Biceps Curl,bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/36881101-Dumbbell-Seated-Reverse-Grip-Biceps-Curl_Forearms_small.png,dumbbell
5335,Dumbbell + Face Down Lying Shoulder Press,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/41251101-Dumbbell-Face-Down-Lying-Shoulder-Press-(male)_Shoulders_small.png,dumbbell
4943,Dumbbell + Standing Single Leg Calf Raise,unilateral_alternating,calves,https://apilyfta.com/static/GymvisualPNG/37131101-Dumbbell-Standing-Single-Leg-Calf-Raise_Calves_small.png,dumbbell
155,Dumbbell + Over Bench One Arm Neutral Wrist Curl,unilateral_alternating,forearms,https://apilyfta.com/static/GymvisualPNG/03661101-Dumbbell-Over-Bench-One-Arm--Neutral-Wrist-Curl_Forearms_small.png,dumbbell
1876,Dumbbell + Standing One Arm Reverse Curl,unilateral_alternating,forearms,https://apilyfta.com/static/GymvisualPNG/04251101-Dumbbell-Standing-One-Arm-Reverse-Curl_Forearms_small.png,dumbbell
3556,Dumbbell + Seated Bent Arm Lateral Raise,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/23171101-Dumbbell-Seated-Bent-Arm-Lateral-raise_Shoulders_small.png,dumbbell
2977,Dumbbell + One Arm Zottman Preacher Curl,unilateral_alternating,biceps,https://apilyfta.com/static/GymvisualPNG/16721101-Dumbbell-One-Arm-Zottman-Preacher-Curl_Upper-Arms_small.png,dumbbell
2643,Dumbbell + Incline Alternate Hammer Curl,unilateral_alternating,biceps,https://apilyfta.com/static/GymvisualPNG/12331101-Dumbbell-Incline-Alternate-Hammer-Curl_Upper-Arms_small.png,dumbbell
2956,Dumbbell + Alternate Seated Hammer Curl,unilateral_alternating,biceps,https://apilyfta.com/static/GymvisualPNG/16481101-Dumbbell-Alternate-Seated-Hammer-Curl_Upper-Arms_small.png,dumbbell
4472,Dumbbell + Exercise Ball On The Wall Calf Raise,bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/32411101-Exercise-Ball-on-the-Wall-Calf-Raise-(tennis-ball-between-ankles)_Calves_small.png,dumbbell
2969,Dumbbell + One Arm Hammer Preacher Curl,unilateral_alternating,biceps,https://apilyfta.com/static/GymvisualPNG/16631101-Dumbbell-One-Arm-Hammer-Preacher-Curl_Upper-Arms_small.png,dumbbell
4912,Dumbbell + Incline Alternate Bicep Curl,unilateral_alternating,biceps,https://apilyfta.com/static/GymvisualPNG/36821101-Dumbbell-Incline-Alternate-Bicep-Curl_Upper-Arms_small.png,dumbbell
1819,Dumbbell + Over Bench Revers Wrist Curl,bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/03681101-Dumbbell-Over-Bench-Revers-Wrist-Curl_Forearms_small.png,dumbbell
5229,Dumbbell + Standing Single Spider Curl,unilateral_simultaneous,biceps,https://apilyfta.com/static/GymvisualPNG/40171101-Dumbbell-Standing-Single-Spider-Curl_Upper-Arms_small.png,dumbbell
28013,Dumbbell + Standing Wrist Reverse Curl,bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/63621101-Dumbbell-Standing-Wrist-Reverse-Curl_Forearms_small.png,dumbbell
1874,Dumbbell + Standing One Arm Extension,unilateral_alternating,triceps,https://apilyfta.com/static/GymvisualPNG/04231101-Dumbbell-Standing-One-Arm-Extension_Upper-Arms_small.png,dumbbell
1881,Dumbbell + Standing Triceps Extension,unilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/04301101-Dumbbell-Standing-Triceps-Extension_Upper-Arms_small.png,dumbbell
1852,Dumbbell + Seated Palms Up Wrist Curl,bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/04011101-Dumbbell-Seated-Palms-Up-Wrist-Curl_Forearms_small.png,dumbbell
4322,Dumbbell + Single Arm Preacher Curl,unilateral_alternating,biceps,https://apilyfta.com/static/GymvisualPNG/30841101-Dumbbell-Single-Arm-Preacher-Curl-(female)_Upper-Arms_small.png,dumbbell
2979,Dumbbell + Prone Incline Hammer Curl,bilateral_simultaneous,biceps,https://apilyfta.com/static/GymvisualPNG/16741101-Dumbbell-Prone-Incline-Hammer-Curl_Upper-Arms_small.png,dumbbell
4569,Dumbbell + Single Stiff Leg Deadlift,unilateral_alternating,hips,https://apilyfta.com/static/GymvisualPNG/33381101-Dumbbell-Single-Stiff-Leg-Deadlift_Hips-FIX_small.png,dumbbell
1781,Dumbbell + Incline Triceps Extension,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/03301101-Dumbbell-Incline-Triceps-Extension_Upper-Arms-FIX_small.png,dumbbell
3027,Dumbbell + Incline Two Arm Extension,unilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/17331101-Dumbbell-Incline-Two-Arm-Extension_Upper-Arms_small.png,dumbbell
3433,Dumbbell + Dumbbells Seated Triceps Extension,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/21891101-Dumbbells-Seated-Triceps-Extension_Upper-Arms_small.png,dumbbell
3827,Dumbbell + Lying Triceps Extension,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/25891101-Dumbbell-Lying-Triceps-Extension-(female)_Upper-Arms_small.png,dumbbell
2802,Dumbbell + Flat Flye Hold Isometric,bilateral_simultaneous,chest,https://apilyfta.com/static/GymvisualPNG/14501101-Dumbbell-Flat-Flye-Hold_Isometric_small.png,dumbbell
28017,Dumbbell + Standing Back Wrist Curl,bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/63661101-Dumbbell-Standing-Back-Wrist-Curl_Forearms_small.png,dumbbell
1844,Dumbbell + Seated Inner Biceps Curl,bilateral_simultaneous,biceps,https://apilyfta.com/static/GymvisualPNG/03931101-Dumbbell-Seated-Inner-Biceps-Curl_Upper-Arms_small.png,dumbbell
5182,Dumbbell + Incline Around The World,bilateral_simultaneous,chest,https://apilyfta.com/static/GymvisualPNG/39671101-Dumbbell-Incline-Around-the-World_Shoulders_small.png,dumbbell
1833,Dumbbell + Revers Grip Biceps Curl,bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/03821101-Dumbbell-Revers-grip-Biceps-Curl_Forearms_small.png,dumbbell
1877,Dumbbell + Standing Overhead Press,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/04261101-Dumbbell-Standing-Overhead-Press_shoulder_small.png,dumbbell
3529,Dumbbell + Bulgarian Split Squat,unilateral_alternating,quadriceps,https://apilyfta.com/static/GymvisualPNG/22901101-Dumbbell-Bulgarian-Split-Squat-(female)_Thighs_small.png,dumbbell
1879,Dumbbell + Standing Preacher Curl,unilateral_alternating,biceps,https://apilyfta.com/static/GymvisualPNG/04281101-Dumbbell-Standing-Preacher-Curl_Upper-Arms_small.png,dumbbell
5318,Dumbbell + Standing Arnold Press,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/41081101-Dumbbell-Standing-Arnold-Press-(male)_Shoulders_small.png,dumbbell
1779,Dumbbell + Incline Shoulder Raise,bilateral_simultaneous,chest,https://apilyfta.com/static/GymvisualPNG/03281101-Dumbbell-Incline-Shoulder-Raise_chest_small.png,dumbbell
4925,Dumbbell + Alternate Bench Press,unilateral_alternating,chest,https://apilyfta.com/static/GymvisualPNG/36951101-Dumbbell-Alternate-Bench-Press-(high-start)_Chest_small.png,dumbbell
1873,Dumbbell + Standing One Arm Curl,unilateral_alternating,biceps,https://apilyfta.com/static/GymvisualPNG/04221101-Dumbbell-Standing-One-Arm-Curl-(over-incline-bench)_Upper-Arms_small.png,dumbbell
1840,Dumbbell + Seated Bench Extension,unilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/03891101-Dumbbell-Seated-Bench-Extension_Upper-Arms-FIX_small.png,dumbbell
1749,Dumbbell + Cross Body Hammer Curl,unilateral_alternating,"biceps, forearms",https://apilyfta.com/static/GymvisualPNG/02981101-Dumbbell-Cross-Body-Hammer-Curl_Forearms_small.png,dumbbell
1736,Dumbbell + Alternate Biceps Curl,unilateral_alternating,biceps,https://apilyfta.com/static/GymvisualPNG/02851101-Dumbbell-Alternate-Biceps-Curl_Upper-Arms-AFIX_small.png,dumbbell
2602,Dumbbell + Forward Leaning Lunge,unilateral_alternating,quadriceps,https://apilyfta.com/static/GymvisualPNG/11751101-Dumbbell-forward-leaning-lunge_Thighs_small.png,dumbbell
2975,Dumbbell + One Arm Standing Curl,unilateral_alternating,biceps,https://apilyfta.com/static/GymvisualPNG/16701101-Dumbbell-One-Arm-Standing-Curl_Upper-Arms_small.png,dumbbell
1775,Dumbbell + Incline Palm-In Press,bilateral_simultaneous,chest,https://apilyfta.com/static/GymvisualPNG/03241101-Dumbbell-Incline-Palm-in-Press_Chest_small.png,dumbbell
1846,Dumbbell + Seated Lateral Raise,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/03951101-Dumbbell-Seated-Lateral-Raise-II_shoulder_small.png,dumbbell
1806,Dumbbell + One Arm Lateral Raise,unilateral_alternating,shoulders,https://apilyfta.com/static/GymvisualPNG/03551101-Dumbbell-One-Arm-Lateral-Raise_shoulder_small.png,dumbbell
1856,Dumbbell + Seated Shoulder Press,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/04051101-Dumbbell-Seated-Shoulder-Press_Shoulders_small.png,dumbbell
1820,Dumbbell + Over Bench Wrist Curl,bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/03691101-Dumbbell-Over-Bench-Wrist-Curl_Forearms_small.png,dumbbell
1880,Dumbbell + Standing Reverse Curl,bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/04291101-Dumbbell-Standing-Reverse-Curl_Forearms_small.png,dumbbell
4913,Dumbbell + Gobelt Curtsey Lunge,unilateral_alternating,quadriceps,https://apilyfta.com/static/GymvisualPNG/36831101-Dumbbell-Gobelt-Curtsey-Lunge_Thighs_small.png,dumbbell
156,Dumbbell + Over Bench One Arm Wrist Curl,unilateral_alternating,forearms,https://apilyfta.com/static/GymvisualPNG/03671101-Dumbbell-Over-Bench-One-Arm-Wrist-Curl_Forearms_small.png,dumbbell
5420,Dumbbell + 4 Ways Lateral Raise,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/42111101-Dumbbell-4-Ways-Lateral-Raise_Shoulders_small.png,dumbbell
1867,Dumbbell + Standing Biceps Curl,bilateral_simultaneous,biceps,https://apilyfta.com/static/GymvisualPNG/04161101-Dumbbell-Standing-Biceps-Curl_Upper-Arms_small.png,dumbbell
5490,Dumbbell + Lying Hamstring Curl,unilateral_simultaneous,hamstring,https://apilyfta.com/static/GymvisualPNG/42921301-Dumbbell-Lying-Hamstring-Curl_Thighs_720_small.png,dumbbell
1853,Dumbbell + Seated Preacher Curl,bilateral_simultaneous,biceps,https://apilyfta.com/static/GymvisualPNG/04021101-Dumbbell-Seated-Preacher-Curl_Upper-Arms_small.png,dumbbell
27979,Dumbbell + Standing Arms Rotate,bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/62671101-Dumbbell-Standing-Arms-Rotate_Forearms_small.png,dumbbell
1868,Dumbbell + Standing Calf Raise,bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/04171101-Dumbbell-Standing-Calf-Raise_Calf_small.png,dumbbell
4911,Dumbbell + Squeeze Bench Press,bilateral_simultaneous,chest,https://apilyfta.com/static/GymvisualPNG/36811101-Dumbbell-Squeeze-Bench-Press_Chest_small.png,dumbbell
28010,Dumbbell + Standing Wrist Curl,bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/63591101-Dumbbell-Standing-Wrist-Curl_Forearms_small.png,dumbbell
1771,Dumbbell + Incline Hammer Curl,bilateral_simultaneous,biceps,https://apilyfta.com/static/GymvisualPNG/03201101-Dumbbell-Incline-Hammer-Curl_Upper-Arms_small.png,dumbbell
1752,Dumbbell + Decline Bench Press,bilateral_simultaneous,chest,https://apilyfta.com/static/GymvisualPNG/03011101-Dumbbell-Decline-Bench-Press_Chest-FIX_small.png,dumbbell
5208,Dumbbell + Push-Up Front Raise,unilateral_alternating,chest,https://apilyfta.com/static/GymvisualPNG/39931101-Dumbbell-Push-up-Front-Raise_Chest_small.png,dumbbell
2980,Dumbbell + Reverse Spider Curl,bilateral_simultaneous,biceps,https://apilyfta.com/static/GymvisualPNG/16751101-Dumbbell-Reverse-Spider-Curl_Upper-Arms_small.png,dumbbell
4050,Dumbbell + Step-Up Split Squat,unilateral_alternating,quadriceps,https://apilyfta.com/static/GymvisualPNG/28121101-Dumbbell-Step-up-Split-Squat_Thighs_small.png,dumbbell
1766,Dumbbell + Incline Biceps Curl,bilateral_simultaneous,biceps,https://apilyfta.com/static/GymvisualPNG/03151101-Dumbbell-Incline-Biceps-Curl_Upper-Arms_small.png,dumbbell
4163,Dumbbell + Single Leg Step Up,unilateral_alternating,quadriceps,https://apilyfta.com/static/GymvisualPNG/29251101-Dumbbell-Single-Leg-Step-Up_Thighs_small.png,dumbbell
27723,Dumbbell + Walking Calf Raise,unilateral_alternating,calves,https://apilyfta.com/static/GymvisualPNG/56981101-Dumbbell-Walking-Calf-Raise_Calves_small.png,dumbbell
1883,Dumbbell + Stiff Leg Deadlift,bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/04321101-Dumbbell-Stiff-Leg-Deadlift_Waist_small.png,dumbbell
4921,Dumbbell + Goblet Split Squat,unilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/36911101-Dumbbell-Goblet-Split-Squat_Thighs_small.png,dumbbell
1836,Dumbbell + Reverse Wrist Curl,bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/03851101-Dumbbell-Reverse-Wrist-Curl_Forearm_small.png,dumbbell
1748,Dumbbell + Concentration Curl,unilateral_alternating,biceps,https://apilyfta.com/static/GymvisualPNG/02971101-Dumbbell-Concentration-Curl_Upper-Arms_small.png,dumbbell
1825,Dumbbell + Prone Incline Curl,bilateral_simultaneous,biceps,https://apilyfta.com/static/GymvisualPNG/03741101-Dumbbell-Prone-Incline-Curl_Upper-Arms_small.png,dumbbell
3462,Dumbbell + Romanian Deadlift,bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/22221101-Dumbbell-Romanian-Deadlift-(female)_Hips_small.png,dumbbell
3883,Dumbbell + Close Grip Press,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/26451101-Dumbbell-Close-Grip-Press-(female)_Upper-Arms_small.png,dumbbell
4045,Dumbbell + Sumo Pull Through,unilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/28071101-Dumbbell-Sumo-Pull-Through_Hips_small.png,dumbbell
1871,Dumbbell + Standing Kickback,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/04201101-Dumbbell-Standing-Kickback_Upper-Arms_small.png,dumbbell
140,Dumbbell + Incline Rear Lateral Raise,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/03261101-Dumbbell-Incline-Rear-Lateral-Raise_Shoulders_small.png,dumbbell
2746,Dumbbell + Seated Calf Raise,bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/13791101-Dumbbell-Seated-Calf-Raise_Calves_small.png,dumbbell
138,Dumbbell + Incline Inner Biceps Curl,bilateral_simultaneous,biceps,https://apilyfta.com/static/GymvisualPNG/03221101-Dumbbell-Incline-Inner-Biceps-Curl_Upper-Arms_small.png,dumbbell
152,Dumbbell + One Arm Revers Wrist Curl,unilateral_alternating,forearms,https://apilyfta.com/static/GymvisualPNG/03581101-Dumbbell-One-arm-Revers-Wrist-Curl_Forearms_small.png,dumbbell
4917,Dumbbell + Drag Bicep Curl,bilateral_simultaneous,biceps,https://apilyfta.com/static/GymvisualPNG/36871101-Dumbbell-Drag-Bicep-Curl_Upper-Arms_small.png,dumbbell
180,Dumbbell + Standing Alternate Raise,unilateral_alternating,shoulders,https://apilyfta.com/static/GymvisualPNG/04151101-Dumbbell-Standing-Alternate-Raise_Shoulders_small.png,dumbbell
3531,Dumbbell + Rear Delt Raise,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/22921101-Dumbbell-Rear-Delt-Raise_Shoulders_small.png,dumbbell
1790,Dumbbell + Lying Femoral,unilateral_simultaneous,hamstring,https://apilyfta.com/static/GymvisualPNG/03391101-Dumbbell-Lying-Femoral_Thighs_small.png,dumbbell
161,Dumbbell + Rear Delt Row_Shoulder,unilateral_alternating,shoulders,https://apilyfta.com/static/GymvisualPNG/03771101-Dumbbell-Rear-Delt-Row_shoulder_small.png,dumbbell
1785,Dumbbell + Lateral Raise,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/03341101-Dumbbell-Lateral-Raise_shoulder-AFIX_small.png,dumbbell
428,Dumbbell + Lying Single Extension,unilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/17351101-Dumbbell-Lying-Single-Extension_Upper-Arms_small.png,dumbbell
1768,Dumbbell + Incline Curl,bilateral_simultaneous,biceps,https://apilyfta.com/static/GymvisualPNG/03171101-Dumbbell-Incline-Curl-II_Upper-Arms_small.png,dumbbell
1823,Dumbbell + Preacher Curl,unilateral_alternating,biceps,https://apilyfta.com/static/GymvisualPNG/03721101-Dumbbell-Preacher-Curl_Upper-Arms_small.png,dumbbell
3640,Dumbbell + Hammer Curls,bilateral_simultaneous,"biceps, forearms",https://apilyfta.com/static/GymvisualPNG/24021101-Dumbbell-Hammer-Curls-(with-arm-blaster)_Forearms_small.png,dumbbell
1744,Dumbbell + Bent Over Row,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/02931101-Dumbbell-Bent-Over-Row_Back-FIX_small.png,dumbbell
178,Dumbbell + Single Leg Split Squat,unilateral_alternating,quadriceps,https://apilyfta.com/static/GymvisualPNG/04101101-Dumbbell-Single-Leg-Split-Squat_Thighs_small.png,dumbbell
3520,Dumbbell + Goblet Squat,unilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/22811101-Dumbbell-Goblet-Squat-(female)_Thighs_small.png,dumbbell
4205,Dumbbell + Front Squat,bilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/29671101-Dumbbell-Front-Squat-(female)_Thighs_small.png,dumbbell
5374,Dumbbell + Devils Press,bilateral_simultaneous,chest,https://apilyfta.com/static/GymvisualPNG/41641101-Dumbbell-Devils-Press_Plyometric_small.png,dumbbell
3400,Dumbbell + Arnold Press,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/21371101-Dumbbell-Arnold-Press_Shoulders_small.png,dumbbell
