exercise_id,exercise_name,exercise_type,body_part,exercise_image,equipment
28183,Lever Seated Single Leg Squat Calf Raise On Leg Press Machine (Female),weight_reps,calves,https://apilyfta.com/static/GymvisualPNG/71091101-Lever-Seated-Single-Leg-Squat-Calf-Raise-on-Leg-Press-Machine-(female)_Calves_small.png,unknown
3022,Cable + Standing Reverse Grip One Arm Overhead Tricep Extension,weight_reps,triceps,https://apilyfta.com/static/GymvisualPNG/17271101-Cable-Standing-Reverse-Grip-One-Arm-Overhead-Tricep-Extension_Upper-Arms_small.png,cable
27954,Dumbbell + Seated Single Arm Overhead Triceps Extension,db_1_alt_sides,triceps,https://apilyfta.com/static/GymvisualPNG/61581101-Dumbbell-Seated-Single-Arm-Overhead-Triceps-Extension_Upper-Arms_small.png,dumbbell
3033,Dumbbell + Standing Bent Over One Arm Triceps Extension,db_1_alt_sides,triceps,https://apilyfta.com/static/GymvisualPNG/17401101-Dumbbell-Standing-Bent-Over-One-Arm-Triceps-Extension_Upper-Arms_small.png,dumbbell
2984,Dumbbell + Two Arm Seated Hammer Curl On Exercise Ball,db_2_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/16811101-Dumbbell-Two-Arm-Seated-Hammer-Curl-on-Exercise-Ball_Upper-Arms_small.png,dumbbell
27810,Cable + Seated High Pulley Overhead Triceps Extension,weight_reps,triceps,https://apilyfta.com/static/GymvisualPNG/59161101-Cable-Seated-High-Pulley-Overhead-Tricep-Extension_Upper-Arms_small.png,cable
3825,Dumbbell + Lying One Arm Supinated Triceps Extension,db_1_alt_sides,triceps,https://apilyfta.com/static/GymvisualPNG/25871101-Dumbbell-Lying-One-Arm-Supinated-Triceps-Extension-(female)_Upper-Arms_small.png,dumbbell
2985,Dumbbell + Step Up Single Leg Balance With Bicep Curl,db_1_alt_sides,biceps,https://apilyfta.com/static/GymvisualPNG/16841101-Dumbbell-Step-Up-Single-Leg-Balance-with-Bicep-Curl_Upper-Arms_small.png,dumbbell
2751,Lever Seated Squat Calf Raise On Leg Press Machine,weight_reps,calves,https://apilyfta.com/static/GymvisualPNG/13851101-Lever-Seated-Squat-Calf-Raise-on-Leg-Press-Machine_Calves_small.png,unknown
27980,Barbell + Ez Standing Single Arm Neutral Wrist Curl,weight_reps,forearms,https://apilyfta.com/static/GymvisualPNG/62681101-EZ-Barbell-Standing-Single-Arm-Neutral-Wrist-Curl_Forearms_small.png,barbell
2641,Dumbbell + Standing Alternate Vertical Front Raises,db_1_alt_sides,shoulders,https://apilyfta.com/static/GymvisualPNG/12301101-Dumbbell-Standing-Alternate-Vertical-Front-Raises_Shoulders_small.png,dumbbell
1795,Dumbbell + Lying One Arm Pronated Triceps Extension,db_1_alt_sides,triceps,https://apilyfta.com/static/GymvisualPNG/03441101-Dumbbell-Lying-One-Arm-Pronated-Triceps-Extension_Upper-Arms_small.png,dumbbell
