exercise_id,exercise_name,exercise_type,body_part,exercise_image,equipment
1659,Cable + Reverse-Grip Straight Back Seated High Row,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/02081101-Cable-Reverse-grip-Straight-Back-Seated-High-Row_Back-AFIX_small.png,cable
2022,Weighted + Lever Single Arm Neutral Grip Seated Row,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/05711101-Lever-Alternating-Narrow-Grip-Seated-Row-(plate-loaded)_Back_small.png,weighted
2269,Cable + Twin Handle Parallel Grip Lat Pulldown,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/08181101-twin-handle-parallel-grip-lat-pulldown_Back_small.png,cable
28263,Cable + Neutral Grip Lat Pulldown (Male),bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/75831101-Cable-Neutral-Grip-Lat-Pulldown-(male)_Back_small.png,cable
1644,Cable + One Arm Straight Back High Row,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/01931101-Cable-One-Arm-Straight-Back-High-Row-(kneeling)_Back_small.png,cable
3974,Cable + Lever Reverse Grip Lateral Pulldown,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/27361101-Lever-Reverse-grip-Lateral-Pulldown-(plate-loaded)_Back_small.png,cable
338,Cable + Wide Grip Rear Pulldown Behind Neck,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/13251101-Cable-Wide-Grip-Rear-Pulldown-Behind-Neck_Back_small.png,cable
1569,Barbell + Reverse Grip Bent Over Row,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/01181101-Barbell-Reverse-Grip-Bent-over-Row_Back-FIX_small.png,barbell
5589,Cable + Low Row With Rope Attachment,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/43911101-Cable-Low-Row-with-Rope-Attachment_Back_small.png,cable
4282,Cable + Cross Over Lateral Pulldown,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/30441101-Cable-Cross-over-Lateral-Pulldown-(female)_Back_small.png,cable
1665,Cable + Seated One Arm Alternate Row,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/02141101-Cable-Seated-One-Arm-Alternate-Row_Back_small.png,cable
233,Cable + Reverse Grip Machine Lat Pulldown,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/06731101-reverse-grip-machine-lat-pulldown_Back_small.png,cable
3854,Cable + Lateral Pulldown With V-Bar,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/26161101-Cable-Lateral-Pulldown-with-V-bar_Back_small.png,cable
2623,Cable + One Arm Twisting Seated Row,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/12051101-Cable-one-arm-twisting-seated-row_back_small.png,cable
5425,Cable + Wide Neutral Grip Pulldown,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/42171101-Cable-Wide-Neutral-Grip-PullDown_Back_small.png,cable
5336,Barbell + Deadstop Row With Rack,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/41261101-Barbell-Deadstop-Row-with-Rack-(male)_Back_small.png,barbell
345,Weighted + Lever Reverse Grip Vertical Row,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/13481101-Lever-Reverse-Grip-Vertical-Row_Back_small.png,weighted
