exercise_id,exercise_name,exercise_type,body_part,exercise_image,equipment
2985,Dumbbell + Step Up Single Leg Balance With Bicep Curl,unilateral_alternating,biceps,https://apilyfta.com/static/GymvisualPNG/16841101-Dumbbell-Step-Up-Single-Leg-Balance-with-Bicep-Curl_Upper-Arms_small.png,dumbbell
2983,Dumbbell + Standing One Arm Curl Over Incline Bench,unilateral_alternating,biceps,https://apilyfta.com/static/GymvisualPNG/16801101-Dumbbell-Standing-One-Arm-Curl-Over-Incline-Bench_Upper-Arms_small.png,dumbbell
5755,Dumbbell + Standing Biceps Curl To Shoulder Press,bilateral_simultaneous,biceps,https://apilyfta.com/static/GymvisualPNG/45741101-Dumbbell-Standing-Biceps-Curl-to-Shoulder-Press-(male)_Shoulders_small.png,dumbbell
2949,Cable + Rope One Arm Hammer Preacher Curl,bilateral_simultaneous,biceps,https://apilyfta.com/static/GymvisualPNG/16401101-Cable-Rope-One-Arm-Hammer-Preacher-Curl_Upper-Arms_small.png,cable
2977,Dumbbell + One Arm Zottman Preacher Curl,unilateral_alternating,biceps,https://apilyfta.com/static/GymvisualPNG/16721101-Dumbbell-One-Arm-Zottman-Preacher-Curl_Upper-Arms_small.png,dumbbell
2643,Dumbbell + Incline Alternate Hammer Curl,unilateral_alternating,biceps,https://apilyfta.com/static/GymvisualPNG/12331101-Dumbbell-Incline-Alternate-Hammer-Curl_Upper-Arms_small.png,dumbbell
2956,Dumbbell + Alternate Seated Hammer Curl,unilateral_alternating,biceps,https://apilyfta.com/static/GymvisualPNG/16481101-Dumbbell-Alternate-Seated-Hammer-Curl_Upper-Arms_small.png,dumbbell
2969,Dumbbell + One Arm Hammer Preacher Curl,unilateral_alternating,biceps,https://apilyfta.com/static/GymvisualPNG/16631101-Dumbbell-One-Arm-Hammer-Preacher-Curl_Upper-Arms_small.png,dumbbell
4912,Dumbbell + Incline Alternate Bicep Curl,unilateral_alternating,biceps,https://apilyfta.com/static/GymvisualPNG/36821101-Dumbbell-Incline-Alternate-Bicep-Curl_Upper-Arms_small.png,dumbbell
5229,Dumbbell + Standing Single Spider Curl,unilateral_simultaneous,biceps,https://apilyfta.com/static/GymvisualPNG/40171101-Dumbbell-Standing-Single-Spider-Curl_Upper-Arms_small.png,dumbbell
39,Barbell + Seated Close-Grip Concentration Curl,bilateral_simultaneous,biceps,https://apilyfta.com/static/GymvisualPNG/00891101-Barbell-Seated-Close-grip-Concentration-Curl_Upper-Arms_small.png,barbell
