exercise_id,exercise_name,exercise_type,body_part,exercise_image,equipment
27980,Barbell + Ez Standing Single Arm Neutral Wrist Curl,bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/62681101-EZ-Barbell-Standing-Single-Arm-Neutral-Wrist-Curl_Forearms_small.png,barbell
4269,Barbell + Standing Close Grip Military Press,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/30311101-Barbell-Standing-Close-Grip-Military-Press-(female)_Shoulders_small.png,barbell
2774,Barbell + Palms Down Wrist Curl Over A Bench,bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/14111101-Barbell-Palms-Down-Wrist-Curl-Over-A-Bench_Forearms_small.png,barbell
1537,Barbell + Seated Behind Head Military Press,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/00861101-Barbell-Seated-Behind-Head-Military-Press_Shoulders_small.png,barbell
3926,Barbell + Standing Front Raise Over Head,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/26881101-Barbell-Standing-Front-Raise-Over-Head-(female)_Shoulders_small.png,barbell
1562,Barbell + Standing Rocking Leg Calf Raise,bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/01111101-Barbell-Standing-Rocking-Leg-Calf-Raise_Calf_small.png,barbell
2884,Barbell + Wide Stance Stiff Leg Deadlift,bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/15441101-Barbell-Wide-Stance-Stiff-Leg-Deadlift_Hips_small.png,barbell
28012,Barbell + Ez Standing Wrist Reverse Curl,bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/63611101-EZ-Barbell-Standing-Wrist-Reverse-Curl_Forearms_small.png,barbell
2872,Barbell + Romanian Deadlift From Deficit,bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/15321101-Barbell-Romanian-Deadlift-From-Deficit_Thighs_small.png,barbell
1903,Barbell + Ez Reverse Grip Preacher Curl,bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/04521101-EZ-Barbell-Reverse-grip-Preacher-Curl_Forearms_small.png,barbell
2798,Barbell + Zercher Squat Hold Isometric,bilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/14461101-Barbell-Zercher-Squat-Hold_Isometric_small.png,barbell
39,Barbell + Seated Close-Grip Concentration Curl,bilateral_simultaneous,biceps,https://apilyfta.com/static/GymvisualPNG/00891101-Barbell-Seated-Close-grip-Concentration-Curl_Upper-Arms_small.png,barbell
1538,Barbell + Seated Bradford Rocky Press,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/00871101-Barbell-Seated-Bradford-Rocky-Press_Shoulders_small.png,barbell
373,Barbell + Standing Close Grip Military Press,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/14561101-Barbell-Standing-Close-Grip-Military-Press_Shoulders_small.png,barbell
1569,Barbell + Reverse Grip Bent Over Row,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/01181101-Barbell-Reverse-Grip-Bent-over-Row_Back-FIX_small.png,barbell
1561,Barbell + Standing Reverse Grip Curl,bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/01101101-Barbell-Standing-Reverse-Grip-Curl_Forearms_small.png,barbell
27645,Barbell + Kas Glute Bridge (Female),bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/54511101-Barbell-KAS-Glute-Bridge-(female)_Hips_small.png,barbell
1555,Barbell + Standing Back Wrist Curl,bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/01041101-Barbell-Standing-Back-Wrist-Curl_Forearms_small.png,barbell
1557,Barbell + Standing Close Grip Curl,bilateral_simultaneous,biceps,https://apilyfta.com/static/GymvisualPNG/01061101-Barbell-Standing-Close-Grip-Curl_Upper-Arms_small.png,barbell
2593,Barbell + Standing Military Press,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/11651101-Barbell-Standing-Military-Press-(without-rack)_Shoulders-FIX_small.png,barbell
27557,Barbell + Standing Shoulders Press,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/53281101-Barbell-Standing-Shoulders-Press_Shoulders-FIX_small.png,barbell
5382,Barbell + Banded Romanian Deadlift,bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/41731101-Barbell-Banded-Romanian-Deadlift_Hips_small.png,barbell
1556,Barbell + Standing Bradford Press,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/01051101-Barbell-Standing-Bradford-Press_Shoulders_small.png,barbell
5336,Barbell + Deadstop Row With Rack,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/41261101-Barbell-Deadstop-Row-with-Rack-(male)_Back_small.png,barbell
5609,Barbell + Seated High Front Raise,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/44111101-Barbell-Seated-High-Front-Raise_Shoulders_small.png,barbell
1559,Barbell + Standing Leg Calf Raise,bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/01081101-Barbell-Standing-Leg-Calf-Raise_Calf_small.png,barbell
1566,Barbell + Stiff Leg Good Morning,bilateral_simultaneous,hamstring,https://apilyfta.com/static/GymvisualPNG/01151101-Barbell-Stiff-Leg-Good-Morning_Waist_small.png,barbell
1480,Barbell + Clean-Grip Front Squat,bilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/00291101-Barbell-Clean-grip-Front-Squat_Thighs_small.png,barbell
1550,Barbell + Single Leg Split Squat,bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/00991101-Barbell-Single-Leg-Split-Squat_Hips_small.png,barbell
4228,Barbell + Walk Calves Activation,bilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/29901101-Barbell-Walk-Calves-Activation_Thighs_small.png,barbell
4960,Barbell + Sumo Romanian Deadlift,bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/37311101-Barbell-Sumo-Romanian-Deadlift_Hips_small.png,barbell
408,Barbell + Standing Wide Grip Biceps Curl,bilateral_simultaneous,biceps,https://apilyfta.com/static/GymvisualPNG/16291101-Barbell-Standing-Wide-Grip-Biceps-Curl_Upper-Arms_small.png,barbell
1532,Barbell + Reverse Preacher Curl,bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/00811101-Barbell-Reverse-Preacher-Curl_Forearm_small.png,barbell
1567,Barbell + Straight Leg Deadlift,bilateral_simultaneous,hamstring,https://apilyfta.com/static/GymvisualPNG/01161101-Barbell-Straight-Leg-Deadlift_Thighs-AFIX_small.png,barbell
2883,Barbell + Stiff Legged Deadlift,bilateral_simultaneous,hamstring,https://apilyfta.com/static/GymvisualPNG/15431101-Barbell-Stiff-Legged-Deadlift_Hips_small.png,barbell
374,Barbell + Standing Wide Military Press,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/14571101-Barbell-Standing-Wide-Military-Press_Shoulders_small.png,barbell
1902,Barbell + Ez Reverse Grip Curl,bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/04511101-EZ-Barbell-Reverse-Grip-Curl_Forearms_small.png,barbell
2741,Barbell + Standing Calf Raise,bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/13721101-Barbell-Standing-Calf-Raise_Calves_small.png,barbell
1498,Barbell + Incline Bench Press,bilateral_simultaneous,chest,https://apilyfta.com/static/GymvisualPNG/00471101-Barbell-Incline-Bench-Press_Chest-FIX_small.png,barbell
27974,Barbell + Standing Wrist Curl,bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/62621101-Barbell-Standing-Wrist-Curl_Forearms_small.png,barbell
1530,Barbell + Revers Wrist Curl,bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/00791101-Barbell-Revers-Wrist-Curl-II_Forearms_small.png,barbell
