exercise_id,exercise_name,exercise_type,body_part,exercise_image,equipment
353,Body Weight + Bodyweight Standing Calf Raise,bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/13731101-Bodyweight-Standing-Calf-Raise_Calves_small.png,body weight
3602,Body Weight + Assisted Wide-Grip Chest Dip,assisted_bodyweight,chest,https://apilyfta.com/static/GymvisualPNG/23641101-Assisted-Wide-Grip-Chest-Dip-(kneeling)_Chest_small.png,body weight
2783,Body Weight + Modified Push Up To Forearms,bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/14211101-Modified-Push-Up-to-Forearms_Forearms_small.png,body weight
4673,Body Weight + Dip On Floor With Chair,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/34431101-Dip-on-Floor-with-Chair_Chest_small.png,body weight
1915,Body Weight + Front Plank With Twist,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/04641101-Front-Plank-with-Twist_waist_small.png,body weight
2023,Body Weight + Lever Assisted Chin-Up,assisted_bodyweight,back,https://apilyfta.com/static/GymvisualPNG/05721101-Lever-Assisted-Chin-Up_Back_small.png,body weight
3398,Body Weight + Weighted Front Plank,duration_based,abs,https://apilyfta.com/static/GymvisualPNG/21351101-Weighted-Front-Plank_Waist_small.png,body weight
5037,Body Weight + Front Plank Toe Tap,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/38141101-Front-Plank-Toe-Tap-(male)_Hips_small.png,body weight
4617,Body Weight + Dips Between Chairs,bodyweight_full,triceps,https://apilyfta.com/static/GymvisualPNG/33871101-Dips-between-Chairs_Chest_small.png,body weight
1460,Body Weight + Assisted Chest Dip,assisted_bodyweight,chest,https://apilyfta.com/static/GymvisualPNG/00091101-Assisted-Chest-Dip-(kneeling)_Chest_small.png,body weight
2762,Body Weight + Bench Dip On Floor,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/13991101-Bench-dip-on-floor_Upper-Arms_small.png,body weight
263,Body Weight + Triceps Dips Floor,bodyweight_full,triceps,https://apilyfta.com/static/GymvisualPNG/08151101-Triceps-Dips-Floor_Upper-Arms_small.png,body weight
5583,Body Weight + Hip Roll Plank,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/43851101-Hip-Roll-Plank_Waist_small.png,body weight
2670,Body Weight + Deep Push Up,bilateral_simultaneous,chest,https://apilyfta.com/static/GymvisualPNG/12741101-Deep-Push-Up_Chest-FIX_small.png,body weight
262,Body Weight + Triceps Dip,bodyweight_full,triceps,https://apilyfta.com/static/GymvisualPNG/08141101-Triceps-Dip_Upper-Arms_small.png,body weight
1916,Body Weight + Front Plank,duration_based,abs,https://apilyfta.com/static/GymvisualPNG/04651101-Front-Plank_Waist_small.png,body weight
2166,Body Weight + Side Plank,duration_based,abs,https://apilyfta.com/static/GymvisualPNG/07151101-Side-Plank-m_Waist_small.png,body weight
4518,Body Weight + Elbow Dips,bodyweight_full,triceps,https://apilyfta.com/static/GymvisualPNG/32871101-Elbow-dips_Upper-arms_small.png,body weight
2128,Body Weight + Ring Dips,bodyweight_full,triceps,https://apilyfta.com/static/GymvisualPNG/06771101-Ring-Dip_Upper-Arms-FIX_small.png,body weight
56,Body Weight + Bench Dip,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/01291101-Bench-Dip-(knees-bent)_Upper-Arms_small.png,body weight
111,Body Weight + Chest Dip,bodyweight_full,chest,https://apilyfta.com/static/GymvisualPNG/02511101-Chest-Dip_Chest_small.png,body weight
293,Body Weight + Burpee,duration_based,cardio,https://apilyfta.com/static/GymvisualPNG/11601101-Burpee_Cardio_small.png,body weight
