exercise_id,exercise_name,exercise_type,body_part,exercise_image,equipment
330,Smith Machine + Smith Wide Grip Decline Bench Press,bilateral_simultaneous,chest,https://apilyfta.com/static/GymvisualPNG/13091101-Smith-Wide-Grip-Decline-Bench-Press_Chest_small.png,smith machine
2759,Smith Machine + Smith Seated One Leg Calf Raise,bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/13951101-Smith-Seated-One-Leg-Calf-Raise_Calves_small.png,smith machine
2758,Smith Machine + Smith One Leg Floor Calf Raise,bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/13931101-Smith-One-Leg-Floor-Calf-Raise_Calves_small.png,smith machine
2224,Smith Machine + Smith Standing Leg Calf Raise,bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/07731101-Smith-Standing-Leg-Calf-Raise_Calf_small.png,smith machine
2200,Smith Machine + Smith Bent Knee Good Morning,bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/07491101-Smith-Bent-Knee-Good-morning_Hips_small.png,smith machine
329,Smith Machine + Smith Wide Grip Bench Press,bilateral_simultaneous,chest,https://apilyfta.com/static/GymvisualPNG/13081101-Smith-Wide-Grip-Bench-Press_Chest_small.png,smith machine
392,Smith Machine + Smith Stiff Legged Deadlift,bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/15971101-Smith-Stiff-Legged-Deadlift_Hips_small.png,smith machine
2860,Smith Machine + Smith Good Morning Off Pins,bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/15191101-Smith-Good-Morning-Off-Pins_Hips_small.png,smith machine
253,Smith Machine + Smith Seated Shoulder Press,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/07651101-Smith-Seated-Shoulder-Press_Shoulders_small.png,smith machine
251,Smith Machine + Smith Reverse Calf Raises,bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/07631101-Smith-Reverse-Calf-Raises_calf_small.png,smith machine
247,Smith Machine + Smith Incline Bench Press,bilateral_simultaneous,chest,https://apilyfta.com/static/GymvisualPNG/07571101-Smith-Incline-Bench-Press_Chest-FIX_small.png,smith machine
245,Smith Machine + Smith Decline Bench Press,bilateral_simultaneous,chest,https://apilyfta.com/static/GymvisualPNG/07531101-Smith-Decline-Bench-Press_Chest_small.png,smith machine
240,Smith Machine + Smith Behind Neck Press,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/07471101-Smith-Behind-Neck-Press_shoulder_small.png,smith machine
5568,Smith Machine + Smith Seated Calf Raise,bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/43701101-Smith-Seated-Calf-Raise_Calves_small.png,smith machine
254,Smith Machine + Smith Shoulder Press,bilateral_simultaneous,shoulders,https://apilyfta.com/static/GymvisualPNG/07661101-Smith-Shoulder-Press_shoulder_small.png,smith machine
46723,Smith Machine + Smith Sumo Deadlift,bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/73741201-Smith-Sumo-Deadlift_Hips_GREEN.png,smith machine
257,Smith Machine + Smith Sprint Lunge,bilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/07691101-Smith-Split-Squat_Thighs-FIX_small.png,smith machine
242,Smith Machine + Smith Chair Squat,bilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/07501101-Smith-Chair-Squat_Thighs_small.png,smith machine
241,Smith Machine + Smith Bench Press,bilateral_simultaneous,chest,https://apilyfta.com/static/GymvisualPNG/07481101-Smith-Bench-Press_Chest-FIX_small.png,smith machine
363,Smith Machine + Smith Front Squat,bilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/14331101-Smith-Front-Squat-(Clean-Grip)_Thighs_small.png,smith machine
5217,Smith Machine + Smith Sumo Squat,bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/40051101-Smith-Sumo-Squat-(female)_Hips_small.png,smith machine
4512,Smith Machine + Smith Full Squat,bilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/32811101-Smith-Full-Squat_Thighs_small.png,smith machine
4348,Smith Machine + Smith Hip Thrust,bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/31101101-Smith-Hip-Thrust_Hips_small.png,smith machine
2206,Smith Machine + Smith Hack Squat,bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/07551101-Smith-Hack-Squat_Hips_small.png,smith machine
295,Smith Machine + Smith Calf Raise,bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/11641101-Smith-Calf-Raise-(version-2)_Calves_small.png,smith machine
358,Smith Machine + Smith Toe Raise,bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/13961101-Smith-Toe-Raise_Calves_small.png,smith machine
244,Smith Machine + Smith Deadlift,bilateral_simultaneous,"hips, quadriceps",https://apilyfta.com/static/GymvisualPNG/07521101-Smith-Deadlift_Hips_small.png,smith machine
258,Smith Machine + Smith Squat,bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/07701101-Smith-Squat_Hips_small.png,smith machine
