exercise_id,exercise_name,exercise_type,body_part,exercise_image,equipment
5193,Weighted + Seated Side-To-Side Leg Raise Crunch On Floor,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/39781101-Seated-Side-to-Side-Leg-Raise-Crunch-on-Floor_Waist_small.png,weighted
27659,Weighted + Seated Single Calf Raise (Version 2),bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/54841101-Weighted-Seated-Single-Calf-Raise-(VERSION-2)_Calves_small.png,weighted
28179,Weighted + Plate Standing Hands Torsion (Male),bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/70551101-Weighted-Plate-Standing-Hands-Torsion-(male)_Forearms_small.png,weighted
4620,Weighted + Calf Raise From Deficit With Chair Supported,bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/33901101-Calf-Raise-from-Deficit-with-Chair-Supported_Calves_small.png,weighted
28088,Weighted + Plate Standing Biceps Curl (Male),bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/66981101-Weighted-Plate-Standing-Biceps-Curl-(male)_Forearms_small.png,weighted
2022,Weighted + Lever Single Arm Neutral Grip Seated Row,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/05711101-Lever-Alternating-Narrow-Grip-Seated-Row-(plate-loaded)_Back_small.png,weighted
5311,Weighted + Straight Leg Toe Touch Crunch,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/41011101-Weighted-Straight-Leg-Toe-Touch-Crunch-(male)_Waist_small.png,weighted
3131,Weighted + Extension And Inclination Neck Stretch,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/18441101-Extension-And-Inclination-Neck-Stretch_Neck_small.png,weighted
3999,Weighted + Ankle - Dorsal Flexion - Articulations,bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/27611101-Ankle---Dorsal-Flexion_Articulations_small.png,weighted
27658,Weighted + Seated Calf Raise (Version 2),bilateral_simultaneous,calves,https://apilyfta.com/static/GymvisualPNG/54831101-Weighted-Seated-Calf-Raise-(VERSION-2)_Calves_small.png,weighted
5801,Weighted + Seated Tuck Crunch On Floor,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/46231101-Weighted-Seated-Tuck-Crunch-on-Floor_Waist_small.png,weighted
5624,Weighted + Side Lying Side Neck Raise,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/44301101-Weighted-Side-Lying-Side-Neck-Raise_Neck_small.png,weighted
5569,Weighted + Lever Incline One Arm Chest Press,bilateral_simultaneous,chest,https://apilyfta.com/static/GymvisualPNG/43711101-Lever-Incline-One-Arm-Chest-Press-(plate-loaded)_Chest_small.png,weighted
27369,Weighted + Seated Leg Raise On Floor,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/50231101-Weighted-Seated-Leg-Raise-on-Floor_Waist_small.png,weighted
5440,Weighted + Seated Reverse Wrist Curl,bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/42321101-Weighted-Seated-Reverse-Wrist-Curl_Forearms_small.png,weighted
4671,Weighted + Seated Flexion And Extension Neck,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/34411101-Seated-Flexion-And-Extension-Neck-(male)_Neck_small.png,weighted
3127,Weighted + Neck Flexor And Rotational Stretch,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/18401101-Neck-Flexor-And-Rotational-Stretch_Neck_small.png,weighted
3648,Weighted + Standing Neck Extension,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/24101101-Weighted-Standing-Neck-Extension-(with-head-harness)_Neck_small.png,weighted
4201,Weighted + Captains Chair Straight Leg Raise,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/29631101-Captains-Chair-Straight-Leg-Raise_Waist_small.png,weighted
4027,Weighted + Wrist - Adduction - Articulations,bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/27891101-Wrist---Adduction_Articulations_small.png,weighted
4871,Weighted + Kneeling Step With Swing,bilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/36411101-Weighted-Kneeling-Step-with-Swing_Thighs_small.png,weighted
47333,Weighted + Standing Switching Palm Squeezes,bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/65821201-Standing-Switching-Palm-Squeezes-(male)_Forearms__GREEN.png,weighted
5625,Weighted + Lying Neck Side To Side,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/44311101-Weighted-Lying-Neck-Side-to-Side_Neck_small.png,weighted
5338,Weighted + Counterbalanced Squat,bilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/41281101-Weighted-Counterbalanced-Squat-(male)_Thighs_small.png,weighted
345,Weighted + Lever Reverse Grip Vertical Row,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/13481101-Lever-Reverse-Grip-Vertical-Row_Back_small.png,weighted
4437,Weighted + Lever Bent-Over Row With V-Bar,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/32001101-Lever-Bent-over-Row-with-V-bar-(plate-loaded)_Back_small.png,weighted
3646,Weighted + Lying Neck Extension,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/24081101-Weighted-Lying-Neck-Extension-(with-head-harness)_Neck_small.png,weighted
2317,Weighted + Hanging Leg-Hip Raise,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/08661101-Weighted-Hanging-leg-hip-raise_Waist_small.png,weighted
2729,Weighted + Lever One Arm Lateral High Row,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/13561101-Lever-One-Arm-Lateral-High-Row_Back_small.png,weighted
3130,Weighted + Assisted Rotating Neck Stretch,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/18431101-Assisted-Rotating-Neck-Stretch_Neck_small.png,weighted
5623,Weighted + Lying Side Neck Raise,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/44291101-Weighted-Lying-Side-Neck-Raise_Neck_small.png,weighted
3380,Weighted + Standing Abs Rotation Stretch,bilateral_simultaneous,abs,https://apilyfta.com/static/GymvisualPNG/21101101-Standing-Abs-Rotation-Stretch_Waist_small.png,weighted
3522,Weighted + Lever Neck Left Side Flexion,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/22831101-Lever-Neck-Left-Side-Flexion-(plate-loaded)_Neck_small.png,weighted
215,Weighted + Lever Narrow Grip Seated Row,bilateral_simultaneous,back,https://apilyfta.com/static/GymvisualPNG/05881101-Lever-Narrow-Grip-Seated-Row-(plate-loaded)_Back_small.png,weighted
4432,Weighted + Lever Lying Two-One Leg Curl,bilateral_simultaneous,hamstring,https://apilyfta.com/static/GymvisualPNG/31951101-Lever-Lying-Two-One-Leg-Curl_Thighs_small.png,weighted
3647,Weighted + Lying Neck Flexion,bilateral_simultaneous,neck,https://apilyfta.com/static/GymvisualPNG/24091101-Weighted-Lying-Neck-Flexion-(with-head-harness)_Neck_small.png,weighted
