exercise_id,exercise_name,exercise_type,body_part,exercise_image,equipment
5162,Dumbbell + Seated Upright Alternate Squeeze Press,unilateral_alternating,chest,https://apilyfta.com/static/GymvisualPNG/39461101-Dumbbell-Seated-Upright-Alternate-Squeeze-Press_Chest_small.png,dumbbell
2628,Cable + Twisting Standing One Arm Chest Press,bilateral_simultaneous,chest,https://apilyfta.com/static/GymvisualPNG/12111101-Cable-twisting-standing-one-arm-chest-press_chest_small.png,cable
2796,Cable + Dumbbell Bent Arm Pullover Hold Isometric,bilateral_simultaneous,chest,https://apilyfta.com/static/GymvisualPNG/14441101-Dumbbell-Bent-Arm-Pullover-Hold_Isometric_small.png,cable
330,Smith Machine + Smith Wide Grip Decline Bench Press,bilateral_simultaneous,chest,https://apilyfta.com/static/GymvisualPNG/13091101-Smith-Wide-Grip-Decline-Bench-Press_Chest_small.png,smith machine
48265,Cable + Standing Alternate Chest Fly,bilateral_simultaneous,chest,https://apilyfta.com/static/GymvisualPNG/79871201-Cable-Standing-Alternate-Chest-Fly_Chest_GREEN.png,cable
5569,Weighted + Lever Incline One Arm Chest Press,bilateral_simultaneous,chest,https://apilyfta.com/static/GymvisualPNG/43711101-Lever-Incline-One-Arm-Chest-Press-(plate-loaded)_Chest_small.png,weighted
2802,Dumbbell + Flat Flye Hold Isometric,bilateral_simultaneous,chest,https://apilyfta.com/static/GymvisualPNG/14501101-Dumbbell-Flat-Flye-Hold_Isometric_small.png,dumbbell
5182,Dumbbell + Incline Around The World,bilateral_simultaneous,chest,https://apilyfta.com/static/GymvisualPNG/39671101-Dumbbell-Incline-Around-the-World_Shoulders_small.png,dumbbell
324,Cable + Standing Up Straight Crossovers,bilateral_simultaneous,chest,https://apilyfta.com/static/GymvisualPNG/12691101-Cable-Standing-Up-Straight-Crossovers_Chest_small.png,cable
1779,Dumbbell + Incline Shoulder Raise,bilateral_simultaneous,chest,https://apilyfta.com/static/GymvisualPNG/03281101-Dumbbell-Incline-Shoulder-Raise_chest_small.png,dumbbell
4925,Dumbbell + Alternate Bench Press,unilateral_alternating,chest,https://apilyfta.com/static/GymvisualPNG/36951101-Dumbbell-Alternate-Bench-Press-(high-start)_Chest_small.png,dumbbell
5088,Cable + Fly With Chest Supported,bilateral_simultaneous,chest,https://apilyfta.com/static/GymvisualPNG/38681101-Cable-Fly-with-Chest-Supported_Chest_small.png,cable
1775,Dumbbell + Incline Palm-In Press,bilateral_simultaneous,chest,https://apilyfta.com/static/GymvisualPNG/03241101-Dumbbell-Incline-Palm-in-Press_Chest_small.png,dumbbell
3602,Body Weight + Assisted Wide-Grip Chest Dip,assisted_bodyweight,chest,https://apilyfta.com/static/GymvisualPNG/23641101-Assisted-Wide-Grip-Chest-Dip-(kneeling)_Chest_small.png,body weight
3680,Cable + Upper Chest Crossovers,bilateral_simultaneous,chest,https://apilyfta.com/static/GymvisualPNG/24421101-Cable-Upper-Chest-Crossovers-(female)_Chest_small.png,cable
4911,Dumbbell + Squeeze Bench Press,bilateral_simultaneous,chest,https://apilyfta.com/static/GymvisualPNG/36811101-Dumbbell-Squeeze-Bench-Press_Chest_small.png,dumbbell
27745,Cable + Low Chest Press (Male),bilateral_simultaneous,chest,https://apilyfta.com/static/GymvisualPNG/58141101-Cable-Low-Chest-Press-(male)_Chest_small.png,cable
1752,Dumbbell + Decline Bench Press,bilateral_simultaneous,chest,https://apilyfta.com/static/GymvisualPNG/03011101-Dumbbell-Decline-Bench-Press_Chest-FIX_small.png,dumbbell
