exercise_id,exercise_name,exercise_type,body_part,exercise_image,equipment
2984,Dumbbell + Two Arm Seated Hammer Curl On Exercise Ball,bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/16811101-Dumbbell-Two-Arm-Seated-Hammer-Curl-on-Exercise-Ball_Upper-Arms_small.png,dumbbell
27980,Barbell + Ez Standing Single Arm Neutral Wrist Curl,bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/62681101-EZ-Barbell-Standing-Single-Arm-Neutral-Wrist-Curl_Forearms_small.png,barbell
28180,Dumbbell + Standing Reverse Curl Rotate (Male),bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/70561101-Dumbbell-Standing-Reverse-Curl-Rotate-(male)_Forearms_small.png,dumbbell
28179,Weighted + Plate Standing Hands Torsion (Male),bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/70551101-Weighted-Plate-Standing-Hands-Torsion-(male)_Forearms_small.png,weighted
2774,Barbell + Palms Down Wrist Curl Over A Bench,bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/14111101-Barbell-Palms-Down-Wrist-Curl-Over-A-Bench_Forearms_small.png,barbell
28088,Weighted + Plate Standing Biceps Curl (Male),bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/66981101-Weighted-Plate-Standing-Biceps-Curl-(male)_Forearms_small.png,weighted
4918,Dumbbell + Seated Reverse Grip Biceps Curl,bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/36881101-Dumbbell-Seated-Reverse-Grip-Biceps-Curl_Forearms_small.png,dumbbell
155,Dumbbell + Over Bench One Arm Neutral Wrist Curl,unilateral_alternating,forearms,https://apilyfta.com/static/GymvisualPNG/03661101-Dumbbell-Over-Bench-One-Arm--Neutral-Wrist-Curl_Forearms_small.png,dumbbell
1876,Dumbbell + Standing One Arm Reverse Curl,unilateral_alternating,forearms,https://apilyfta.com/static/GymvisualPNG/04251101-Dumbbell-Standing-One-Arm-Reverse-Curl_Forearms_small.png,dumbbell
28012,Barbell + Ez Standing Wrist Reverse Curl,bilateral_simultaneous,forearms,https://apilyfta.com/static/GymvisualPNG/63611101-EZ-Barbell-Standing-Wrist-Reverse-Curl_Forearms_small.png,barbell
