exercise_id,exercise_name,exercise_type,body_part,exercise_image,equipment
2884,Barbell + Wide Stance Stiff Leg Deadlift,bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/15441101-Barbell-Wide-Stance-Stiff-Leg-Deadlift_Hips_small.png,barbell
2872,Barbell + Romanian Deadlift From Deficit,bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/15321101-Barbell-Romanian-Deadlift-From-Deficit_Thighs_small.png,barbell
4569,Dumbbell + Single Stiff Leg Deadlift,unilateral_alternating,hips,https://apilyfta.com/static/GymvisualPNG/33381101-Dumbbell-Single-Stiff-Leg-Deadlift_Hips-FIX_small.png,dumbbell
27645,Barbell + Kas Glute Bridge (Female),bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/54511101-Barbell-KAS-Glute-Bridge-(female)_Hips_small.png,barbell
4962,Kettlebell + Straight Leg Deadlift,bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/37331101-Kettlebell-Straight-leg-Deadlift_Hips_small.png,kettlebell
5382,Barbell + Banded Romanian Deadlift,bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/41731101-Barbell-Banded-Romanian-Deadlift_Hips_small.png,barbell
2906,Kettlebell + One Legged Deadlift,bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/15691101-Kettlebell-One-Legged-Deadlift_Hips_small.png,kettlebell
1550,Barbell + Single Leg Split Squat,bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/00991101-Barbell-Single-Leg-Split-Squat_Hips_small.png,barbell
4960,Barbell + Sumo Romanian Deadlift,bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/37311101-Barbell-Sumo-Romanian-Deadlift_Hips_small.png,barbell
5343,Kettlebell + Suitcase Deadlift,bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/41331101-Kettlebell-Suitcase-Deadlift-(male)_Hips_small.png,kettlebell
2200,Smith Machine + Smith Bent Knee Good Morning,bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/07491101-Smith-Bent-Knee-Good-morning_Hips_small.png,smith machine
5323,Weighted + Landmine Romanian Deadlift,bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/41131101-Landmine-Romanian-Deadlift-(male)_Hips_small.png,weighted
1883,Dumbbell + Stiff Leg Deadlift,bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/04321101-Dumbbell-Stiff-Leg-Deadlift_Waist_small.png,dumbbell
392,Smith Machine + Smith Stiff Legged Deadlift,bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/15971101-Smith-Stiff-Legged-Deadlift_Hips_small.png,smith machine
2860,Smith Machine + Smith Good Morning Off Pins,bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/15191101-Smith-Good-Morning-Off-Pins_Hips_small.png,smith machine
3462,Dumbbell + Romanian Deadlift,bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/22221101-Dumbbell-Romanian-Deadlift-(female)_Hips_small.png,dumbbell
4045,Dumbbell + Sumo Pull Through,unilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/28071101-Dumbbell-Sumo-Pull-Through_Hips_small.png,dumbbell
2492,Barbell + One Leg Hip Thrust,bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/10611101-Barbell-one-leg-hip-thrust_Hips_small.png,barbell
1536,Barbell + Romanian Deadlift,bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/00851101-Barbell-Romanian-Deadlift_Hips_small.png,barbell
5601,Kettlebell + Kettlebells Sumo Deadlift,bilateral_simultaneous,hips,https://apilyfta.com/static/GymvisualPNG/44031101-Kettlebells-Sumo-Deadlift_Hips_small.png,kettlebell
