exercise_id,exercise_name,exercise_type,body_part,exercise_image,equipment
28226,Leverage Machine + Lever Leg Extension (Inward Toes) (Male),bilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/73271101-Lever-Leg-Extension-(Inward-Toes)-(male)_Thighs_small.png,leverage machine
4847,Leverage Machine + Sled 45 Degrees Wide Stance Leg Press,bilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/36171101-Sled-45-degrees-Wide-Stance-Leg-Press-(female)_Thighs_small.png,leverage machine
28182,Leverage Machine + Lever Seated Leg Extension (Version 2),bilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/71081101-Lever-Seated-Leg-Extension-(VERSION-2)_Thighs_small.png,leverage machine
2798,Barbell + Zercher Squat Hold Isometric,bilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/14461101-Barbell-Zercher-Squat-Hold_Isometric_small.png,barbell
4871,Weighted + Kneeling Step With Swing,bilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/36411101-Weighted-Kneeling-Step-with-Swing_Thighs_small.png,weighted
5338,Weighted + Counterbalanced Squat,bilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/41281101-Weighted-Counterbalanced-Squat-(male)_Thighs_small.png,weighted
3529,Dumbbell + Bulgarian Split Squat,unilateral_alternating,quadriceps,https://apilyfta.com/static/GymvisualPNG/22901101-Dumbbell-Bulgarian-Split-Squat-(female)_Thighs_small.png,dumbbell
2602,Dumbbell + Forward Leaning Lunge,unilateral_alternating,quadriceps,https://apilyfta.com/static/GymvisualPNG/11751101-Dumbbell-forward-leaning-lunge_Thighs_small.png,dumbbell
1480,Barbell + Clean-Grip Front Squat,bilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/00291101-Barbell-Clean-grip-Front-Squat_Thighs_small.png,barbell
4228,Barbell + Walk Calves Activation,bilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/29901101-Barbell-Walk-Calves-Activation_Thighs_small.png,barbell
4913,Dumbbell + Gobelt Curtsey Lunge,unilateral_alternating,quadriceps,https://apilyfta.com/static/GymvisualPNG/36831101-Dumbbell-Gobelt-Curtsey-Lunge_Thighs_small.png,dumbbell
4050,Dumbbell + Step-Up Split Squat,unilateral_alternating,quadriceps,https://apilyfta.com/static/GymvisualPNG/28121101-Dumbbell-Step-up-Split-Squat_Thighs_small.png,dumbbell
4163,Dumbbell + Single Leg Step Up,unilateral_alternating,quadriceps,https://apilyfta.com/static/GymvisualPNG/29251101-Dumbbell-Single-Leg-Step-Up_Thighs_small.png,dumbbell
4921,Dumbbell + Goblet Split Squat,unilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/36911101-Dumbbell-Goblet-Split-Squat_Thighs_small.png,dumbbell
4616,Leverage Machine + Lever Seated Leg Extension,bilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/33861101-Lever-Seated-Leg-Extension-(VERSION-2)_Thighs_small.png,leverage machine
1549,Barbell + Side Split Squat,bilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/00981101-Barbell-Side-Split-Squat_Thighs_small.png,barbell
4873,Weighted + Cossack Squats,bilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/36431101-Weighted-Cossack-Squats-(male)_Thighs_small.png,weighted
1502,Barbell + Jefferson Squat,bilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/00511101-Barbell-Jefferson-Squat_Thighs-FIX_small.png,barbell
236,Sled Machine + Sled 45° Leg Wide Press,bilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/07401101-Sled-45-Leg-Wide-Press_Thighs_small.png,sled machine
2908,Weighted + Lever One Leg Extension,bilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/15711101-Lever-One-Leg-Extension_Thighs_small.png,weighted
4872,Weighted + Stretch Lunge,bilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/36421101-Weighted-Stretch-Lunge_Thighs_small.png,weighted
178,Dumbbell + Single Leg Split Squat,unilateral_alternating,quadriceps,https://apilyfta.com/static/GymvisualPNG/04101101-Dumbbell-Single-Leg-Split-Squat_Thighs_small.png,dumbbell
3507,Leverage Machine + Lever Seated Leg Press,bilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/22671101-Lever-Seated-Leg-Press_Thighs_small.png,leverage machine
3520,Dumbbell + Goblet Squat,unilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/22811101-Dumbbell-Goblet-Squat-(female)_Thighs_small.png,dumbbell
4957,Barbell + Front Step Up,bilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/37281101-Barbell-Front-Step-Up_Thighs_small.png,barbell
4205,Dumbbell + Front Squat,bilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/29671101-Dumbbell-Front-Squat-(female)_Thighs_small.png,dumbbell
1742,Dumbbell + Bench Squat,bilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/02911101-Dumbbell-Bench-Squat_thighs_small.png,dumbbell
4678,Dumbbell + Side Lunge,unilateral_alternating,quadriceps,https://apilyfta.com/static/GymvisualPNG/34481101-Dumbbell-Side-Lunge-(VERSION-3)_small.png,dumbbell
3560,Dumbbell + Sumo Squat,unilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/23221101-Dumbbell-Sumo-Squat-(female)_Thighs-FIX_small.png,dumbbell
4760,Barbell + Banded Squat,bilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/35301101-Barbell-Banded-Squat_Thighs_small.png,barbell
4937,Dumbbell + Press Squat,unilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/37071101-Dumbbell-Press-Squat_Thighs_Chest_small.png,dumbbell
2807,Leverage Machine + Sled 45° Leg Press,bilateral_simultaneous,quadriceps,https://apilyfta.com/static/GymvisualPNG/14631101-Sled-45-Leg-Press-(Side-POV)_Hips_small.png,leverage machine
