exercise_id,exercise_name,exercise_type,body_part,exercise_image,equipment
3022,Cable + Standing Reverse Grip One Arm Overhead Tricep Extension,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/17271101-Cable-Standing-Reverse-Grip-One-Arm-Overhead-Tricep-Extension_Upper-Arms_small.png,cable
27954,Dumbbell + Seated Single Arm Overhead Triceps Extension,unilateral_alternating,triceps,https://apilyfta.com/static/GymvisualPNG/61581101-Dumbbell-Seated-Single-Arm-Overhead-Triceps-Extension_Upper-Arms_small.png,dumbbell
3033,Dumbbell + Standing Bent Over One Arm Triceps Extension,unilateral_alternating,triceps,https://apilyfta.com/static/GymvisualPNG/17401101-Dumbbell-Standing-Bent-Over-One-Arm-Triceps-Extension_Upper-Arms_small.png,dumbbell
27810,Cable + Seated High Pulley Overhead Triceps Extension,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/59161101-Cable-Seated-High-Pulley-Overhead-Tricep-Extension_Upper-Arms_small.png,cable
3825,Dumbbell + Lying One Arm Supinated Triceps Extension,unilateral_alternating,triceps,https://apilyfta.com/static/GymvisualPNG/25871101-Dumbbell-Lying-One-Arm-Supinated-Triceps-Extension-(female)_Upper-Arms_small.png,dumbbell
1795,Dumbbell + Lying One Arm Pronated Triceps Extension,unilateral_alternating,triceps,https://apilyfta.com/static/GymvisualPNG/03441101-Dumbbell-Lying-One-Arm-Pronated-Triceps-Extension_Upper-Arms_small.png,dumbbell
4278,Cable + Bar High Pulley Overhead Tricep Extension,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/30401101-Cable-Bar-High-Pulley-Overhead-Tricep-Extension-(female)_Upper-Arms_small.png,cable
3032,Dumbbell + Standing Alternating Tricep Kickback,unilateral_alternating,triceps,https://apilyfta.com/static/GymvisualPNG/17391101-Dumbbell-Standing-Alternating-Tricep-Kickback_Upper-Arms_small.png,dumbbell
5325,Cable + Overhead Tricep Extension Straight-Bar,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/41151101-Cable-Overhead-Tricep-Extension-Straight-Bar-(male)_Upper-Arms_small.png,cable
429,Dumbbell + Standing Bent Over Two Arm Triceps Extension,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/17411101-Dumbbell-Standing-Bent-Over-Two-Arm-Triceps-Extension_Upper-Arms_small.png,dumbbell
3030,Dumbbell + Seated Bent Over Triceps Extension,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/17371101-Dumbbell-Seated-Bent-Over-Triceps-Extension_Upper-Arms_small.png,dumbbell
5227,Dumbbell + Incline Close-Grip Press Variation,unilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/40151101-Dumbbell-Incline-Close-grip-Press-Variation_Upper-Arms_small.png,dumbbell
3034,Dumbbell + Tricep Kickback With Stork Stance,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/17421101-Dumbbell-Tricep-Kickback-With-Stork-Stance_Upper-Arms_small.png,dumbbell
3934,Cable + Standing One Arm Triceps Extension,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/26961101-Cable-Standing-One-Arm-Triceps-Extension-(female)_Upper-Arms_small.png,cable
2639,Cable + Standing One Arm Tricep Pushdown,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/12271101-Cable-Standing-One-Arm-Tricep-Pushdown-(Overhand-Grip)_Upper-Arms_small.png,cable
425,Cable + High Pulley Overhead Tricep Extension,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/17221101-Cable-High-Pulley-Overhead-Tricep-Extension_Upper-Arms_small.png,cable
1874,Dumbbell + Standing One Arm Extension,unilateral_alternating,triceps,https://apilyfta.com/static/GymvisualPNG/04231101-Dumbbell-Standing-One-Arm-Extension_Upper-Arms_small.png,dumbbell
1881,Dumbbell + Standing Triceps Extension,unilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/04301101-Dumbbell-Standing-Triceps-Extension_Upper-Arms_small.png,dumbbell
1781,Dumbbell + Incline Triceps Extension,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/03301101-Dumbbell-Incline-Triceps-Extension_Upper-Arms-FIX_small.png,dumbbell
3027,Dumbbell + Incline Two Arm Extension,unilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/17331101-Dumbbell-Incline-Two-Arm-Extension_Upper-Arms_small.png,dumbbell
3433,Dumbbell + Dumbbells Seated Triceps Extension,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/21891101-Dumbbells-Seated-Triceps-Extension_Upper-Arms_small.png,dumbbell
3827,Dumbbell + Lying Triceps Extension,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/25891101-Dumbbell-Lying-Triceps-Extension-(female)_Upper-Arms_small.png,dumbbell
1645,Cable + Overhead Triceps Extension,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/01941101-Cable-Overhead-Triceps-Extension-(rope-attachment)_Upper-Arms_small.png,cable
1840,Dumbbell + Seated Bench Extension,unilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/03891101-Dumbbell-Seated-Bench-Extension_Upper-Arms-FIX_small.png,dumbbell
5551,Cable + Lying Triceps Extension,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/43531101-Cable-Lying-Triceps-Extension-(with-Rope)_small.png,cable
4308,Cable + Two Arm Tricep Kickback,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/30701101-Cable-Two-Arm-Tricep-Kickback-(female)_Upper-Arms_small.png,cable
395,Cable + Reverse Grip Triceps Pushdown,bilateral_simultaneous,triceps,https://apilyfta.com/static/GymvisualPNG/16061101-Cable-Reverse-Grip-Triceps-Pushdown-(SZ-bar)_Upper-arms_small.png,cable
